# time [s],deformation [mm]
1,-2.157
2,-2.157
3,-2.157
4,-2.157
5,-2.157
6,-2.157
7,-2.157
8,-2.157
9,-2.157
10,-2.157
11,-2.157
12,-2.157
13,-2.157
14,-2.157
15,-2.157
16,-2.157
17,-2.157
18,-2.157
19,-2.157
20,-2.157
21,-2.157
22,-2.157
23,-2.157
24,-2.157
25,-2.157
26,-2.157
27,-2.157
28,-2.157
29,-2.157
30,-2.157
31,-2.157
32,-2.157
33,-2.157
34,-2.157
35,-2.157
36,-2.157
37,-2.157
38,-2.157
39,-2.157
40,-2.157
41,-2.158
42,-2.158
43,-2.158
44,-2.158
45,-2.158
46,-2.158
47,-2.158
48,-2.158
49,-2.158
50,-2.158
51,-2.158
52,-2.158
53,-2.158
54,-2.158
55,-2.158
56,-2.158
57,-2.158
58,-2.158
59,-2.221
60,-2.246
61,-2.262
62,-2.273
63,-2.284
64,-2.293
65,-2.301
66,-2.308
67,-2.316
68,-2.322
69,-2.329
70,-2.335
71,-2.340
72,-2.346
73,-2.352
74,-2.357
75,-2.362
76,-2.367
77,-2.371
78,-2.376
79,-2.381
80,-2.385
81,-2.389
82,-2.393
83,-2.397
84,-2.401
85,-2.405
86,-2.409
87,-2.413
88,-2.417
89,-2.420
90,-2.424
91,-2.428
92,-2.431
93,-2.434
94,-2.438
95,-2.441
96,-2.444
97,-2.448
98,-2.451
99,-2.454
100,-2.457
101,-2.460
102,-2.463
103,-2.466
104,-2.469
105,-2.472
106,-2.475
107,-2.478
108,-2.481
109,-2.484
110,-2.486
111,-2.489
112,-2.492
113,-2.494
114,-2.497
115,-2.500
116,-2.502
117,-2.505
118,-2.507
119,-2.510
120,-2.512
121,-2.515
122,-2.518
123,-2.520
124,-2.522
125,-2.525
126,-2.527
127,-2.529
128,-2.532
129,-2.534
130,-2.536
131,-2.539
132,-2.541
133,-2.544
134,-2.546
135,-2.548
136,-2.551
137,-2.552
138,-2.555
139,-2.557
140,-2.559
141,-2.561
142,-2.563
143,-2.565
144,-2.568
145,-2.570
146,-2.572
147,-2.574
148,-2.576
149,-2.578
150,-2.581
151,-2.583
152,-2.585
153,-2.587
154,-2.589
155,-2.591
156,-2.592
157,-2.594
158,-2.596
159,-2.598
160,-2.600
161,-2.602
162,-2.605
163,-2.606
164,-2.608
165,-2.610
166,-2.612
167,-2.614
168,-2.616
169,-2.618
170,-2.619
171,-2.621
172,-2.623
173,-2.625
174,-2.627
175,-2.629
176,-2.630
177,-2.632
178,-2.634
179,-2.636
180,-2.638
181,-2.639
182,-2.641
183,-2.643
184,-2.645
185,-2.646
186,-2.648
187,-2.650
188,-2.652
189,-2.653
190,-2.655
191,-2.656
192,-2.658
193,-2.660
194,-2.662
195,-2.663
196,-2.665
197,-2.666
198,-2.668
199,-2.670
200,-2.672
201,-2.673
202,-2.675
203,-2.677
204,-2.678
205,-2.680
206,-2.681
207,-2.683
208,-2.685
209,-2.686
210,-2.688
211,-2.689
212,-2.691
213,-2.692
214,-2.694
215,-2.695
216,-2.697
217,-2.698
218,-2.700
219,-2.702
220,-2.703
221,-2.705
222,-2.706
223,-2.708
224,-2.709
225,-2.711
226,-2.712
227,-2.714
228,-2.715
229,-2.717
230,-2.718
231,-2.719
232,-2.721
233,-2.722
234,-2.724
235,-2.725
236,-2.727
237,-2.728
238,-2.730
239,-2.731
240,-2.733
241,-2.734
242,-2.735
243,-2.737
244,-2.738
245,-2.740
246,-2.741
247,-2.742
248,-2.744
249,-2.745
250,-2.746
251,-2.748
252,-2.749
253,-2.751
254,-2.752
255,-2.753
256,-2.754
257,-2.756
258,-2.757
259,-2.758
260,-2.760
261,-2.761
262,-2.762
263,-2.764
264,-2.765
265,-2.767
266,-2.768
267,-2.769
268,-2.770
269,-2.772
270,-2.773
271,-2.774
272,-2.776
273,-2.777
274,-2.778
275,-2.779
276,-2.781
277,-2.782
278,-2.783
279,-2.784
280,-2.785
281,-2.787
282,-2.788
283,-2.789
284,-2.791
285,-2.792
286,-2.793
287,-2.794
288,-2.796
289,-2.797
290,-2.798
291,-2.799
292,-2.801
293,-2.802
294,-2.803
295,-2.804
296,-2.805
297,-2.807
298,-2.808
299,-2.809
300,-2.810
301,-2.811
302,-2.813
303,-2.814
304,-2.815
305,-2.816
306,-2.817
307,-2.818
308,-2.819
309,-2.821
310,-2.822
