# time [s],deformation [mm]
1,-8.294
2,-8.294
3,-8.294
4,-8.294
5,-8.294
6,-8.294
7,-8.294
8,-8.294
9,-8.294
10,-8.294
11,-8.294
12,-8.294
13,-8.294
14,-8.294
15,-8.294
16,-8.294
17,-8.294
18,-8.294
19,-8.295
20,-8.295
21,-8.295
22,-8.295
23,-8.295
24,-8.295
25,-8.295
26,-8.295
27,-8.295
28,-8.295
29,-8.295
30,-8.295
31,-8.295
32,-8.295
33,-8.295
34,-8.295
35,-8.295
36,-8.295
37,-8.295
38,-8.295
39,-8.295
40,-8.295
41,-8.295
42,-8.295
43,-8.295
44,-8.296
45,-8.381
46,-8.398
47,-8.410
48,-8.420
49,-8.430
50,-8.437
51,-8.445
52,-8.452
53,-8.458
54,-8.465
55,-8.471
56,-8.477
57,-8.482
58,-8.488
59,-8.493
60,-8.498
61,-8.503
62,-8.508
63,-8.513
64,-8.517
65,-8.521
66,-8.526
67,-8.530
68,-8.534
69,-8.539
70,-8.543
71,-8.546
72,-8.550
73,-8.554
74,-8.558
75,-8.562
76,-8.566
77,-8.569
78,-8.573
79,-8.576
80,-8.579
81,-8.583
82,-8.586
83,-8.590
84,-8.593
85,-8.597
86,-8.599
87,-8.603
88,-8.606
89,-8.609
90,-8.612
91,-8.615
92,-8.617
93,-8.621
94,-8.624
95,-8.627
96,-8.630
97,-8.632
98,-8.635
99,-8.638
100,-8.641
101,-8.643
102,-8.646
103,-8.649
104,-8.651
105,-8.654
106,-8.657
107,-8.659
108,-8.662
109,-8.665
110,-8.667
111,-8.670
112,-8.672
113,-8.674
114,-8.677
115,-8.679
116,-8.682
117,-8.684
118,-8.687
119,-8.689
120,-8.692
121,-8.694
122,-8.696
123,-8.699
124,-8.701
125,-8.703
126,-8.705
127,-8.708
128,-8.710
129,-8.712
130,-8.715
131,-8.717
132,-8.719
133,-8.721
134,-8.724
135,-8.726
136,-8.728
137,-8.730
138,-8.732
139,-8.734
140,-8.736
141,-8.738
142,-8.741
143,-8.743
144,-8.745
145,-8.747
146,-8.749
147,-8.751
148,-8.753
149,-8.755
150,-8.757
151,-8.759
152,-8.761
153,-8.763
154,-8.765
155,-8.767
156,-8.769
157,-8.771
158,-8.773
159,-8.774
160,-8.776
161,-8.778
162,-8.780
163,-8.782
164,-8.784
165,-8.786
166,-8.788
167,-8.790
168,-8.791
169,-8.793
170,-8.795
171,-8.797
172,-8.799
173,-8.801
174,-8.802
175,-8.804
176,-8.806
177,-8.808
178,-8.810
179,-8.811
180,-8.813
181,-8.815
182,-8.817
183,-8.819
184,-8.821
185,-8.822
186,-8.824
187,-8.825
188,-8.827
189,-8.829
190,-8.831
191,-8.832
192,-8.834
193,-8.835
194,-8.837
195,-8.839
196,-8.841
197,-8.842
198,-8.844
199,-8.846
200,-8.847
201,-8.849
202,-8.851
203,-8.852
204,-8.854
205,-8.855
206,-8.857
207,-8.859
208,-8.860
209,-8.862
210,-8.863
211,-8.865
212,-8.866
213,-8.868
214,-8.870
215,-8.871
216,-8.873
217,-8.874
218,-8.876
219,-8.878
220,-8.879
221,-8.880
222,-8.882
223,-8.884
224,-8.885
225,-8.887
226,-8.888
227,-8.889
228,-8.891
229,-8.893
230,-8.894
231,-8.895
232,-8.897
233,-8.898
234,-8.900
235,-8.901
236,-8.903
237,-8.904
238,-8.905
239,-8.907
240,-8.909
241,-8.910
242,-8.911
243,-8.913
244,-8.914
245,-8.916
246,-8.917
247,-8.919
248,-8.920
249,-8.921
250,-8.923
251,-8.924
252,-8.925
253,-8.927
254,-8.928
255,-8.929
256,-8.931
257,-8.932
258,-8.933
259,-8.935
260,-8.936
261,-8.937
262,-8.939
263,-8.940
264,-8.942
265,-8.943
266,-8.944
267,-8.946
268,-8.947
269,-8.949
270,-8.950
271,-8.951
272,-8.952
273,-8.954
274,-8.955
275,-8.956
276,-8.958
277,-8.959
278,-8.960
279,-8.961
280,-8.963
281,-8.964
282,-8.965
283,-8.966
284,-8.968
285,-8.969
286,-8.971
287,-8.972
288,-8.973
289,-8.975
290,-8.976
291,-8.977
292,-8.978
293,-8.980
294,-8.981
295,-8.982
296,-8.983
297,-8.985
298,-8.986
299,-8.987
300,-8.988
301,-8.990
302,-8.991
303,-8.992
304,-8.993
305,-8.994
306,-8.995
307,-8.997
308,-8.998
309,-8.999
310,-9.000
311,-9.001
312,-9.003
313,-9.004
314,-9.005
315,-9.007
316,-9.008
317,-9.009
318,-9.010
319,-9.011
320,-9.013
321,-9.014
322,-9.015
323,-9.016
324,-9.017
325,-9.018
326,-9.020
327,-9.021
328,-9.022
329,-9.023
330,-9.024
331,-9.025
332,-9.026
333,-9.028
334,-9.029
335,-9.030
336,-9.031
337,-9.032
338,-9.033
339,-9.034
340,-9.036
341,-9.037
342,-9.038
343,-9.039
344,-9.040
345,-9.041
346,-9.043
347,-9.044
348,-9.045
349,-9.046
350,-9.047
351,-9.048
352,-9.049
353,-9.050
354,-9.052
355,-9.053
356,-9.054
357,-9.055
358,-9.056
359,-9.057
360,-9.058
361,-9.059
362,-9.060
363,-9.061
364,-9.062
365,-9.063
366,-9.065
367,-9.066
368,-9.067
369,-9.068
370,-9.069
371,-9.070
372,-9.071
373,-9.073
374,-9.073
375,-9.075
376,-9.076
377,-9.077
378,-9.078
379,-9.079
380,-9.080
381,-9.081
382,-9.082
383,-9.083
384,-9.084
385,-9.085
386,-9.086
387,-9.087
388,-9.088
389,-9.089
390,-9.090
391,-9.091
392,-9.092
393,-9.093
394,-9.094
395,-9.095
396,-9.096
397,-9.097
398,-9.098
399,-9.100
400,-9.101
401,-9.102
402,-9.103
403,-9.104
404,-9.105
405,-9.106
406,-9.107
407,-9.108
408,-9.109
409,-9.110
410,-9.111
411,-9.112
412,-9.113
413,-9.114
414,-9.115
415,-9.116
416,-9.117
417,-9.118
418,-9.119
419,-9.119
420,-9.120
421,-9.121
422,-9.122
423,-9.123
424,-9.124
425,-9.125
426,-9.126
427,-9.127
428,-9.128
429,-9.129
430,-9.130
431,-9.131
432,-9.132
433,-9.133
434,-9.134
435,-9.135
436,-9.136
437,-9.137
438,-9.138
439,-9.139
440,-9.140
441,-9.141
442,-9.142
443,-9.143
444,-9.144
445,-9.144
446,-9.145
447,-9.146
448,-9.147
449,-9.148
450,-9.149
451,-9.150
452,-9.151
453,-9.152
454,-9.153
455,-9.153
456,-9.154
457,-9.155
458,-9.156
459,-9.157
460,-9.158
461,-9.159
462,-9.160
463,-9.161
464,-9.162
465,-9.163
466,-9.164
467,-9.165
468,-9.165
469,-9.166
470,-9.167
471,-9.168
472,-9.169
