# time [s],deformation [mm]
1,-0.664
2,-0.664
3,-0.664
4,-0.664
5,-0.664
6,-0.664
7,-0.664
8,-0.664
9,-0.664
10,-0.664
11,-0.664
12,-0.664
13,-0.664
14,-0.664
15,-0.664
16,-0.664
17,-0.664
18,-0.664
19,-0.664
20,-0.664
21,-0.664
22,-0.664
23,-0.665
24,-0.665
25,-0.665
26,-0.665
27,-0.665
28,-0.665
29,-0.665
30,-0.665
31,-0.665
32,-0.665
33,-0.665
34,-0.665
35,-0.665
36,-0.665
37,-0.665
38,-0.665
39,-0.665
40,-0.665
41,-0.665
42,-0.665
43,-0.666
44,-0.666
45,-0.666
46,-0.666
47,-0.666
48,-0.666
49,-0.666
50,-0.666
51,-0.666
52,-0.646
53,-0.703
54,-0.710
55,-0.715
56,-0.720
57,-0.724
58,-0.727
59,-0.731
60,-0.733
61,-0.736
62,-0.739
63,-0.741
64,-0.743
65,-0.745
66,-0.748
67,-0.750
68,-0.751
69,-0.753
70,-0.755
71,-0.757
72,-0.759
73,-0.760
74,-0.762
75,-0.763
76,-0.765
77,-0.766
78,-0.768
79,-0.769
80,-0.770
81,-0.772
82,-0.773
83,-0.775
84,-0.776
85,-0.777
86,-0.778
87,-0.780
88,-0.781
89,-0.782
90,-0.783
91,-0.784
92,-0.785
93,-0.787
94,-0.788
95,-0.789
96,-0.790
97,-0.791
98,-0.792
99,-0.793
100,-0.794
101,-0.795
102,-0.796
103,-0.797
104,-0.798
105,-0.799
106,-0.800
107,-0.801
108,-0.802
109,-0.802
110,-0.804
111,-0.805
112,-0.805
113,-0.806
114,-0.807
115,-0.808
116,-0.809
117,-0.810
118,-0.811
119,-0.812
120,-0.813
121,-0.813
122,-0.814
123,-0.815
124,-0.816
125,-0.817
126,-0.817
127,-0.818
128,-0.819
129,-0.820
130,-0.821
131,-0.821
132,-0.822
133,-0.823
134,-0.823
135,-0.824
136,-0.825
137,-0.826
138,-0.826
139,-0.827
140,-0.828
141,-0.829
142,-0.829
143,-0.830
144,-0.831
145,-0.831
146,-0.832
147,-0.833
148,-0.833
149,-0.834
150,-0.835
151,-0.835
152,-0.836
153,-0.837
154,-0.837
155,-0.838
156,-0.839
157,-0.839
158,-0.840
159,-0.840
160,-0.841
161,-0.842
162,-0.842
163,-0.843
164,-0.844
165,-0.844
166,-0.845
167,-0.846
168,-0.846
169,-0.847
170,-0.847
171,-0.848
172,-0.849
173,-0.849
174,-0.850
175,-0.851
176,-0.851
177,-0.852
178,-0.852
179,-0.853
180,-0.853
181,-0.854
182,-0.855
183,-0.855
184,-0.856
185,-0.856
186,-0.857
187,-0.857
188,-0.858
189,-0.858
190,-0.859
191,-0.860
192,-0.860
193,-0.861
194,-0.861
195,-0.862
196,-0.862
197,-0.863
198,-0.863
199,-0.864
200,-0.864
201,-0.865
202,-0.865
203,-0.866
204,-0.866
205,-0.867
206,-0.867
207,-0.868
208,-0.868
209,-0.869
210,-0.869
211,-0.870
212,-0.870
213,-0.871
214,-0.871
215,-0.872
216,-0.872
217,-0.873
218,-0.873
219,-0.874
220,-0.874
221,-0.875
222,-0.875
223,-0.876
224,-0.876
225,-0.877
226,-0.877
227,-0.878
228,-0.878
229,-0.879
230,-0.879
231,-0.879
232,-0.880
233,-0.880
234,-0.881
235,-0.881
236,-0.882
237,-0.882
238,-0.883
239,-0.883
240,-0.884
241,-0.884
242,-0.885
243,-0.885
244,-0.885
245,-0.886
246,-0.886
