# time [s],deformation [mm]
1,-3.786
2,-3.786
3,-3.786
4,-3.786
5,-3.786
6,-3.786
7,-3.786
8,-3.786
9,-3.786
10,-3.786
11,-3.786
12,-3.786
13,-3.786
14,-3.786
15,-3.786
16,-3.786
17,-3.786
18,-3.786
19,-3.786
20,-3.786
21,-3.786
22,-3.786
23,-3.786
24,-3.786
25,-3.786
26,-3.786
27,-3.786
28,-3.786
29,-3.786
30,-3.787
31,-3.787
32,-3.787
33,-3.787
34,-3.787
35,-3.787
36,-3.787
37,-3.787
38,-3.787
39,-3.787
40,-3.787
41,-3.787
42,-3.787
43,-3.787
44,-3.787
45,-3.788
46,-3.788
47,-3.788
48,-3.788
49,-3.788
50,-3.788
51,-3.822
52,-3.864
53,-3.880
54,-3.895
55,-3.906
56,-3.916
57,-3.926
58,-3.934
59,-3.941
60,-3.949
61,-3.956
62,-3.961
63,-3.967
64,-3.973
65,-3.978
66,-3.984
67,-3.989
68,-3.994
69,-3.998
70,-4.003
71,-4.008
72,-4.012
73,-4.017
74,-4.021
75,-4.025
76,-4.030
77,-4.033
78,-4.037
79,-4.041
80,-4.045
81,-4.049
82,-4.053
83,-4.056
84,-4.060
85,-4.063
86,-4.066
87,-4.070
88,-4.073
89,-4.077
90,-4.080
91,-4.083
92,-4.086
93,-4.089
94,-4.093
95,-4.095
96,-4.098
97,-4.102
98,-4.104
99,-4.108
100,-4.111
101,-4.113
102,-4.116
103,-4.119
104,-4.122
105,-4.125
106,-4.127
107,-4.130
108,-4.133
109,-4.136
110,-4.138
111,-4.141
112,-4.144
113,-4.146
114,-4.149
115,-4.151
116,-4.153
117,-4.156
118,-4.158
119,-4.160
120,-4.162
121,-4.165
122,-4.167
123,-4.169
124,-4.172
125,-4.174
126,-4.176
127,-4.179
128,-4.181
129,-4.183
130,-4.185
131,-4.188
132,-4.190
133,-4.192
134,-4.194
135,-4.196
136,-4.199
137,-4.201
138,-4.203
139,-4.205
140,-4.207
141,-4.210
142,-4.212
143,-4.214
144,-4.216
145,-4.218
146,-4.220
147,-4.222
148,-4.224
149,-4.226
150,-4.228
151,-4.231
152,-4.233
153,-4.235
154,-4.237
155,-4.239
156,-4.241
157,-4.243
158,-4.245
159,-4.247
160,-4.249
161,-4.251
162,-4.253
163,-4.255
164,-4.257
165,-4.259
166,-4.261
167,-4.263
168,-4.265
169,-4.267
170,-4.269
171,-4.270
172,-4.272
173,-4.274
174,-4.276
175,-4.278
176,-4.280
177,-4.282
178,-4.284
179,-4.285
180,-4.287
181,-4.289
182,-4.290
183,-4.292
184,-4.294
185,-4.296
186,-4.298
187,-4.300
188,-4.301
189,-4.303
190,-4.305
191,-4.307
192,-4.309
193,-4.310
194,-4.312
195,-4.314
196,-4.316
197,-4.317
198,-4.319
199,-4.321
200,-4.322
201,-4.324
202,-4.325
203,-4.327
204,-4.329
205,-4.331
206,-4.333
207,-4.334
208,-4.336
209,-4.337
210,-4.339
211,-4.341
212,-4.342
213,-4.344
214,-4.345
215,-4.347
216,-4.349
217,-4.350
218,-4.351
219,-4.353
220,-4.355
221,-4.356
222,-4.358
223,-4.359
224,-4.361
225,-4.362
226,-4.364
227,-4.365
228,-4.367
229,-4.368
230,-4.370
231,-4.372
232,-4.373
233,-4.375
234,-4.376
235,-4.377
236,-4.379
237,-4.380
238,-4.382
239,-4.383
240,-4.385
241,-4.386
242,-4.388
243,-4.389
244,-4.391
245,-4.392
246,-4.393
247,-4.395
248,-4.396
249,-4.398
250,-4.399
251,-4.401
252,-4.402
253,-4.404
254,-4.405
255,-4.406
256,-4.408
257,-4.409
258,-4.411
259,-4.412
260,-4.413
261,-4.415
262,-4.416
263,-4.417
264,-4.419
265,-4.420
266,-4.422
267,-4.423
268,-4.424
269,-4.426
270,-4.427
271,-4.429
272,-4.430
273,-4.431
274,-4.433
275,-4.434
276,-4.436
277,-4.437
278,-4.438
279,-4.440
280,-4.441
281,-4.442
282,-4.444
283,-4.445
284,-4.446
285,-4.447
286,-4.449
287,-4.450
288,-4.451
289,-4.453
290,-4.454
291,-4.455
292,-4.457
293,-4.458
294,-4.459
295,-4.461
296,-4.462
297,-4.463
298,-4.465
299,-4.466
300,-4.467
301,-4.469
302,-4.470
303,-4.471
304,-4.473
305,-4.474
306,-4.475
307,-4.477
308,-4.478
309,-4.479
310,-4.480
311,-4.481
312,-4.483
313,-4.484
314,-4.485
315,-4.486
316,-4.487
317,-4.489
318,-4.490
319,-4.491
320,-4.493
321,-4.494
322,-4.495
323,-4.496
324,-4.498
325,-4.499
326,-4.500
327,-4.502
328,-4.503
329,-4.504
330,-4.505
331,-4.506
332,-4.507
333,-4.509
334,-4.510
335,-4.511
336,-4.512
337,-4.513
338,-4.514
339,-4.515
340,-4.517
341,-4.518
342,-4.519
343,-4.520
344,-4.521
345,-4.523
346,-4.524
347,-4.525
348,-4.526
349,-4.527
350,-4.528
351,-4.530
352,-4.531
353,-4.532
354,-4.533
355,-4.534
356,-4.535
357,-4.536
358,-4.538
359,-4.539
360,-4.540
361,-4.541
362,-4.542
363,-4.543
364,-4.544
365,-4.545
366,-4.546
367,-4.547
368,-4.548
369,-4.549
370,-4.551
371,-4.552
372,-4.553
373,-4.554
374,-4.555
375,-4.556
376,-4.557
377,-4.558
378,-4.559
379,-4.560
380,-4.561
381,-4.563
382,-4.564
383,-4.565
384,-4.566
385,-4.567
386,-4.568
387,-4.569
388,-4.570
389,-4.571
390,-4.572
391,-4.573
392,-4.574
393,-4.575
394,-4.576
395,-4.577
396,-4.578
397,-4.579
398,-4.580
399,-4.581
400,-4.582
401,-4.583
402,-4.584
403,-4.585
404,-4.586
405,-4.587
406,-4.588
407,-4.589
408,-4.590
409,-4.591
410,-4.592
411,-4.593
412,-4.594
413,-4.595
414,-4.596
415,-4.597
416,-4.598
417,-4.599
418,-4.600
419,-4.601
420,-4.602
421,-4.603
422,-4.604
423,-4.605
424,-4.606
425,-4.607
426,-4.608
427,-4.609
428,-4.610
429,-4.611
430,-4.612
431,-4.613
432,-4.614
433,-4.615
434,-4.615
435,-4.616
436,-4.617
437,-4.619
438,-4.620
439,-4.621
440,-4.622
441,-4.623
442,-4.623
443,-4.624
444,-4.625
445,-4.626
446,-4.627
447,-4.628
448,-4.629
449,-4.630
450,-4.631
451,-4.632
452,-4.633
453,-4.634
454,-4.635
455,-4.636
456,-4.637
457,-4.638
458,-4.638
459,-4.639
460,-4.640
461,-4.641
462,-4.642
463,-4.643
464,-4.644
465,-4.645
466,-4.646
467,-4.646
468,-4.647
469,-4.648
470,-4.649
471,-4.650
472,-4.651
473,-4.652
474,-4.653
475,-4.654
476,-4.655
477,-4.655
478,-4.656
479,-4.657
480,-4.658
481,-4.659
482,-4.660
483,-4.661
484,-4.662
485,-4.662
486,-4.663
487,-4.664
488,-4.665
489,-4.666
490,-4.667
491,-4.667
492,-4.668
493,-4.669
494,-4.670
495,-4.671
496,-4.671
497,-4.672
498,-4.673
499,-4.674
500,-4.675
501,-4.676
502,-4.676
503,-4.677
504,-4.678
505,-4.679
506,-4.680
507,-4.680
508,-4.681
509,-4.682
510,-4.683
511,-4.684
512,-4.685
513,-4.685
514,-4.686
515,-4.687
516,-4.688
517,-4.689
518,-4.689
519,-4.690
520,-4.691
521,-4.692
522,-4.693
523,-4.693
524,-4.694
525,-4.695
526,-4.695
527,-4.696
528,-4.697
529,-4.697
530,-4.698
531,-4.699
532,-4.700
533,-4.701
534,-4.701
535,-4.702
536,-4.703
537,-4.703
538,-4.704
539,-4.705
540,-4.705
541,-4.706
542,-4.707
543,-4.707
544,-4.708
545,-4.709
546,-4.709
547,-4.710
548,-4.711
549,-4.712
550,-4.712
551,-4.713
552,-4.714
553,-4.715
554,-4.715
555,-4.716
556,-4.717
557,-4.717
558,-4.718
559,-4.719
560,-4.720
561,-4.720
562,-4.721
563,-4.722
564,-4.722
565,-4.723
566,-4.724
567,-4.725
568,-4.725
569,-4.726
570,-4.727
571,-4.727
572,-4.728
573,-4.729
574,-4.729
575,-4.730
576,-4.731
577,-4.732
578,-4.733
579,-4.733
580,-4.734
581,-4.734
582,-4.735
583,-4.735
584,-4.736
585,-4.737
586,-4.738
587,-4.738
588,-4.739
589,-4.740
590,-4.740
591,-4.741
592,-4.742
593,-4.742
594,-4.743
595,-4.744
596,-4.744
597,-4.745
598,-4.746
599,-4.746
600,-4.747
601,-4.748
602,-4.749
603,-4.749
604,-4.750
605,-4.751
606,-4.752
607,-4.752
608,-4.753
609,-4.753
610,-4.754
611,-4.755
612,-4.756
613,-4.756
614,-4.757
615,-4.758
616,-4.758
617,-4.759
618,-4.760
619,-4.760
620,-4.761
621,-4.762
622,-4.762
623,-4.763
624,-4.764
625,-4.765
626,-4.765
627,-4.766
628,-4.766
629,-4.767
630,-4.768
631,-4.768
632,-4.769
633,-4.769
634,-4.770
635,-4.771
636,-4.772
637,-4.772
638,-4.773
639,-4.773
640,-4.774
641,-4.775
642,-4.775
643,-4.776
644,-4.777
645,-4.777
646,-4.778
647,-4.779
648,-4.780
649,-4.780
650,-4.781
651,-4.782
652,-4.782
653,-4.783
654,-4.783
655,-4.784
656,-4.785
657,-4.785
658,-4.786
659,-4.787
660,-4.787
661,-4.788
662,-4.789
663,-4.789
664,-4.790
665,-4.791
666,-4.791
667,-4.792
668,-4.792
669,-4.793
670,-4.794
671,-4.794
672,-4.795
673,-4.796
674,-4.796
675,-4.797
676,-4.798
677,-4.798
678,-4.799
679,-4.799
680,-4.800
681,-4.800
682,-4.801
683,-4.802
684,-4.802
685,-4.803
686,-4.803
687,-4.804
688,-4.805
689,-4.805
690,-4.806
691,-4.807
692,-4.807
693,-4.808
694,-4.808
695,-4.809
696,-4.810
697,-4.810
698,-4.811
699,-4.811
700,-4.812
701,-4.813
702,-4.813
703,-4.814
704,-4.815
705,-4.815
706,-4.816
707,-4.816
708,-4.817
709,-4.818
710,-4.818
711,-4.819
712,-4.820
713,-4.820
714,-4.821
715,-4.821
716,-4.822
717,-4.822
718,-4.823
719,-4.823
720,-4.824
721,-4.825
722,-4.825
723,-4.826
724,-4.826
725,-4.827
726,-4.828
727,-4.828
728,-4.829
729,-4.829
730,-4.830
731,-4.830
732,-4.831
733,-4.831
734,-4.832
735,-4.832
736,-4.833
737,-4.834
738,-4.834
739,-4.835
740,-4.835
741,-4.836
742,-4.837
743,-4.837
744,-4.838
745,-4.838
746,-4.839
747,-4.839
748,-4.840
749,-4.840
750,-4.841
751,-4.842
752,-4.842
753,-4.843
754,-4.843
755,-4.844
756,-4.845
757,-4.845
758,-4.846
759,-4.846
760,-4.847
761,-4.847
762,-4.848
763,-4.848
764,-4.849
765,-4.850
766,-4.850
767,-4.851
768,-4.851
769,-4.852
770,-4.852
771,-4.853
772,-4.854
773,-4.854
774,-4.855
775,-4.855
776,-4.855
777,-4.856
778,-4.857
779,-4.857
780,-4.858
781,-4.858
782,-4.859
783,-4.859
784,-4.860
785,-4.860
786,-4.861
787,-4.861
788,-4.862
789,-4.862
790,-4.863
791,-4.863
