# time [s],deformation [mm]
1,-1.893
2,-1.893
3,-1.893
4,-1.893
5,-1.893
6,-1.893
7,-1.893
8,-1.893
9,-1.893
10,-1.893
11,-1.893
12,-1.893
13,-1.893
14,-1.893
15,-1.893
16,-1.893
17,-1.893
18,-1.893
19,-1.893
20,-1.893
21,-1.893
22,-1.893
23,-1.893
24,-1.893
25,-1.893
26,-1.893
27,-1.893
28,-1.893
29,-1.893
30,-1.895
31,-1.953
32,-1.963
33,-1.972
34,-1.978
35,-1.984
36,-1.989
37,-1.993
38,-1.997
39,-2.001
40,-2.005
41,-2.008
42,-2.012
43,-2.015
44,-2.018
45,-2.021
46,-2.024
47,-2.026
48,-2.029
49,-2.031
50,-2.034
51,-2.036
52,-2.039
53,-2.041
54,-2.044
55,-2.046
56,-2.048
57,-2.050
58,-2.053
59,-2.055
60,-2.057
61,-2.058
62,-2.061
63,-2.063
64,-2.064
65,-2.066
66,-2.068
67,-2.070
68,-2.072
69,-2.074
70,-2.076
71,-2.078
72,-2.079
73,-2.081
74,-2.083
75,-2.084
76,-2.086
77,-2.088
78,-2.089
79,-2.091
80,-2.092
81,-2.094
82,-2.095
83,-2.097
84,-2.098
85,-2.100
86,-2.101
87,-2.103
88,-2.104
89,-2.106
90,-2.107
91,-2.109
92,-2.110
93,-2.112
94,-2.113
95,-2.114
96,-2.116
97,-2.117
98,-2.119
99,-2.120
100,-2.121
101,-2.122
102,-2.124
103,-2.125
104,-2.126
105,-2.128
106,-2.129
107,-2.130
108,-2.131
109,-2.133
110,-2.134
111,-2.135
112,-2.137
113,-2.138
114,-2.139
115,-2.140
116,-2.142
117,-2.143
118,-2.144
119,-2.145
120,-2.146
121,-2.148
122,-2.149
123,-2.150
124,-2.151
125,-2.152
126,-2.153
127,-2.154
128,-2.155
129,-2.156
130,-2.158
131,-2.159
132,-2.160
133,-2.161
134,-2.162
135,-2.163
136,-2.164
137,-2.165
138,-2.166
139,-2.167
140,-2.168
141,-2.169
142,-2.170
143,-2.171
144,-2.173
145,-2.174
146,-2.175
147,-2.176
148,-2.177
149,-2.178
150,-2.179
151,-2.180
152,-2.181
153,-2.182
154,-2.183
155,-2.184
156,-2.184
157,-2.185
158,-2.186
159,-2.187
160,-2.188
161,-2.189
162,-2.190
163,-2.191
164,-2.192
165,-2.193
166,-2.194
167,-2.195
168,-2.196
169,-2.197
170,-2.198
171,-2.199
172,-2.200
173,-2.201
174,-2.201
175,-2.202
176,-2.203
177,-2.204
178,-2.205
179,-2.206
180,-2.207
181,-2.208
182,-2.209
183,-2.210
184,-2.211
185,-2.212
186,-2.212
187,-2.213
188,-2.214
189,-2.215
190,-2.216
191,-2.216
192,-2.217
193,-2.218
194,-2.219
195,-2.220
196,-2.221
197,-2.222
198,-2.222
199,-2.223
200,-2.224
201,-2.225
202,-2.226
203,-2.226
204,-2.227
205,-2.228
206,-2.229
207,-2.230
208,-2.231
209,-2.231
210,-2.232
211,-2.233
212,-2.234
213,-2.235
214,-2.236
215,-2.236
216,-2.237
217,-2.238
218,-2.239
219,-2.240
220,-2.240
221,-2.241
222,-2.242
223,-2.243
224,-2.243
225,-2.244
226,-2.245
227,-2.246
228,-2.247
229,-2.247
230,-2.248
231,-2.249
232,-2.249
233,-2.250
234,-2.251
235,-2.252
236,-2.252
237,-2.253
238,-2.254
239,-2.254
240,-2.255
241,-2.256
242,-2.256
243,-2.257
244,-2.258
245,-2.258
246,-2.259
247,-2.260
248,-2.261
249,-2.262
250,-2.262
251,-2.263
252,-2.264
253,-2.264
254,-2.265
255,-2.266
256,-2.266
257,-2.267
258,-2.268
259,-2.269
260,-2.269
261,-2.270
262,-2.271
263,-2.271
264,-2.272
265,-2.273
266,-2.273
267,-2.274
268,-2.275
269,-2.275
270,-2.276
271,-2.277
272,-2.277
273,-2.278
274,-2.279
275,-2.279
276,-2.280
277,-2.280
278,-2.281
279,-2.282
280,-2.282
281,-2.283
282,-2.283
283,-2.284
284,-2.285
285,-2.285
286,-2.286
287,-2.287
288,-2.287
289,-2.288
290,-2.288
291,-2.289
292,-2.290
293,-2.290
294,-2.291
295,-2.292
296,-2.292
297,-2.293
298,-2.294
299,-2.294
300,-2.295
301,-2.295
302,-2.296
303,-2.296
304,-2.297
305,-2.298
306,-2.298
307,-2.299
308,-2.299
309,-2.300
310,-2.301
311,-2.301
312,-2.302
313,-2.303
314,-2.303
315,-2.304
316,-2.304
317,-2.305
318,-2.305
319,-2.306
320,-2.306
321,-2.307
322,-2.308
323,-2.308
324,-2.309
325,-2.310
326,-2.310
327,-2.310
328,-2.311
329,-2.312
330,-2.312
331,-2.313
332,-2.313
333,-2.314
334,-2.314
335,-2.315
336,-2.315
337,-2.316
338,-2.316
339,-2.317
340,-2.317
341,-2.318
342,-2.319
343,-2.319
344,-2.320
345,-2.320
346,-2.321
347,-2.321
348,-2.322
349,-2.322
350,-2.323
351,-2.323
352,-2.324
353,-2.324
354,-2.325
355,-2.326
356,-2.326
357,-2.327
358,-2.327
359,-2.328
360,-2.328
361,-2.329
362,-2.329
363,-2.330
364,-2.330
365,-2.331
366,-2.331
367,-2.332
368,-2.332
369,-2.333
370,-2.333
371,-2.334
372,-2.335
373,-2.335
374,-2.336
375,-2.336
376,-2.336
377,-2.337
378,-2.337
379,-2.338
380,-2.338
381,-2.339
382,-2.339
383,-2.340
384,-2.340
385,-2.341
386,-2.341
387,-2.342
388,-2.342
389,-2.343
390,-2.343
391,-2.344
392,-2.344
393,-2.344
394,-2.345
395,-2.345
396,-2.346
397,-2.346
398,-2.347
399,-2.347
400,-2.348
401,-2.348
402,-2.349
403,-2.349
404,-2.350
405,-2.350
406,-2.350
407,-2.351
408,-2.351
409,-2.352
410,-2.352
411,-2.353
412,-2.353
413,-2.353
414,-2.354
415,-2.354
416,-2.355
417,-2.355
418,-2.356
419,-2.356
420,-2.357
421,-2.357
422,-2.358
423,-2.358
424,-2.359
425,-2.359
426,-2.360
427,-2.360
428,-2.360
429,-2.361
430,-2.361
431,-2.362
432,-2.362
433,-2.363
434,-2.363
435,-2.364
436,-2.364
437,-2.365
438,-2.365
439,-2.365
440,-2.366
441,-2.366
442,-2.367
443,-2.367
444,-2.368
445,-2.368
446,-2.368
447,-2.369
448,-2.369
449,-2.370
450,-2.370
451,-2.370
452,-2.371
453,-2.371
454,-2.372
455,-2.372
456,-2.372
457,-2.373
458,-2.373
459,-2.374
460,-2.374
461,-2.375
462,-2.375
463,-2.375
464,-2.376
465,-2.376
466,-2.376
467,-2.377
468,-2.377
469,-2.378
470,-2.378
471,-2.378
472,-2.378
473,-2.379
474,-2.379
475,-2.380
476,-2.380
477,-2.381
478,-2.381
479,-2.382
480,-2.382
481,-2.382
482,-2.382
483,-2.383
484,-2.383
485,-2.384
486,-2.384
487,-2.384
488,-2.385
489,-2.385
490,-2.386
491,-2.386
492,-2.386
493,-2.387
494,-2.387
495,-2.387
496,-2.388
497,-2.388
498,-2.389
499,-2.389
500,-2.390
501,-2.390
502,-2.390
503,-2.391
504,-2.391
505,-2.392
506,-2.392
507,-2.392
508,-2.393
509,-2.393
510,-2.393
511,-2.394
512,-2.394
513,-2.394
514,-2.395
515,-2.395
516,-2.396
517,-2.396
518,-2.396
519,-2.397
520,-2.397
521,-2.398
522,-2.398
523,-2.398
524,-2.399
525,-2.399
526,-2.399
527,-2.400
528,-2.400
529,-2.400
530,-2.401
531,-2.401
532,-2.401
533,-2.402
534,-2.402
535,-2.402
536,-2.403
537,-2.403
538,-2.403
539,-2.404
540,-2.404
541,-2.404
542,-2.405
543,-2.405
544,-2.406
545,-2.406
546,-2.406
547,-2.406
548,-2.407
549,-2.407
550,-2.408
551,-2.408
552,-2.408
553,-2.408
554,-2.409
555,-2.409
556,-2.409
557,-2.410
558,-2.410
559,-2.410
560,-2.410
561,-2.411
562,-2.411
563,-2.412
564,-2.412
565,-2.412
566,-2.413
567,-2.413
568,-2.413
569,-2.414
570,-2.414
571,-2.414
572,-2.414
573,-2.415
574,-2.415
575,-2.415
576,-2.416
577,-2.416
578,-2.416
579,-2.417
580,-2.417
581,-2.417
582,-2.417
583,-2.418
584,-2.418
585,-2.418
586,-2.419
587,-2.419
588,-2.419
589,-2.420
590,-2.420
591,-2.420
592,-2.421
593,-2.421
594,-2.421
595,-2.422
596,-2.422
597,-2.422
598,-2.423
599,-2.423
600,-2.423
601,-2.423
602,-2.424
603,-2.424
604,-2.424
605,-2.425
606,-2.425
607,-2.425
608,-2.426
609,-2.426
610,-2.426
611,-2.426
612,-2.427
613,-2.427
614,-2.427
615,-2.428
616,-2.428
617,-2.428
618,-2.429
619,-2.429
620,-2.429
621,-2.430
622,-2.430
623,-2.430
624,-2.430
625,-2.431
626,-2.431
627,-2.431
628,-2.432
629,-2.432
630,-2.432
631,-2.432
632,-2.433
633,-2.433
634,-2.433
635,-2.433
636,-2.434
637,-2.434
638,-2.434
639,-2.434
640,-2.435
641,-2.435
642,-2.435
643,-2.436
644,-2.436
645,-2.436
646,-2.437
647,-2.437
648,-2.437
649,-2.437
650,-2.438
651,-2.438
652,-2.438
653,-2.438
654,-2.439
655,-2.439
656,-2.439
657,-2.439
658,-2.440
659,-2.440
660,-2.440
661,-2.440
662,-2.441
663,-2.441
664,-2.441
665,-2.441
666,-2.442
667,-2.442
668,-2.442
669,-2.442
670,-2.442
671,-2.443
672,-2.443
673,-2.443
674,-2.444
675,-2.444
676,-2.444
677,-2.444
678,-2.445
679,-2.445
680,-2.445
681,-2.445
682,-2.446
683,-2.446
684,-2.446
685,-2.446
686,-2.447
687,-2.447
688,-2.447
689,-2.447
690,-2.448
691,-2.448
692,-2.448
693,-2.448
694,-2.448
695,-2.449
696,-2.449
697,-2.449
698,-2.449
699,-2.450
700,-2.450
701,-2.450
702,-2.450
703,-2.450
704,-2.451
705,-2.451
706,-2.451
707,-2.452
708,-2.452
709,-2.452
710,-2.452
711,-2.453
712,-2.453
713,-2.453
714,-2.453
715,-2.454
716,-2.454
717,-2.454
718,-2.454
719,-2.455
720,-2.455
721,-2.455
722,-2.455
723,-2.455
724,-2.456
725,-2.456
726,-2.456
727,-2.456
728,-2.457
729,-2.457
730,-2.457
731,-2.457
732,-2.458
733,-2.458
734,-2.458
735,-2.458
736,-2.458
737,-2.459
738,-2.459
739,-2.459
740,-2.459
741,-2.460
742,-2.460
743,-2.460
744,-2.460
745,-2.461
746,-2.461
747,-2.461
748,-2.461
749,-2.462
750,-2.462
751,-2.462
752,-2.462
753,-2.462
754,-2.463
755,-2.463
756,-2.463
757,-2.463
758,-2.463
759,-2.464
760,-2.464
761,-2.464
762,-2.464
763,-2.465
764,-2.465
765,-2.465
766,-2.465
767,-2.465
768,-2.466
769,-2.466
770,-2.466
771,-2.466
772,-2.466
773,-2.467
774,-2.467
775,-2.467
776,-2.467
777,-2.468
778,-2.468
779,-2.468
780,-2.468
781,-2.468
782,-2.469
783,-2.469
784,-2.469
785,-2.469
786,-2.469
787,-2.470
788,-2.470
789,-2.470
790,-2.470
791,-2.470
792,-2.470
793,-2.471
794,-2.471
795,-2.471
796,-2.471
797,-2.471
798,-2.472
799,-2.472
800,-2.472
801,-2.472
802,-2.472
803,-2.472
804,-2.473
805,-2.473
806,-2.473
807,-2.473
808,-2.473
809,-2.474
810,-2.474
811,-2.474
812,-2.474
813,-2.474
814,-2.474
815,-2.474
816,-2.475
817,-2.475
818,-2.475
819,-2.475
820,-2.476
821,-2.476
822,-2.476
823,-2.476
824,-2.476
825,-2.477
826,-2.477
827,-2.477
828,-2.477
829,-2.477
830,-2.478
831,-2.478
832,-2.478
833,-2.478
834,-2.478
835,-2.478
836,-2.479
837,-2.479
838,-2.479
839,-2.479
840,-2.479
841,-2.479
842,-2.480
843,-2.480
844,-2.480
845,-2.480
846,-2.480
847,-2.480
848,-2.481
849,-2.481
850,-2.481
851,-2.481
852,-2.481
853,-2.481
854,-2.482
855,-2.482
856,-2.482
857,-2.482
858,-2.482
859,-2.482
860,-2.482
861,-2.483
862,-2.483
863,-2.483
864,-2.483
865,-2.483
866,-2.484
867,-2.484
868,-2.484
869,-2.484
870,-2.484
871,-2.484
872,-2.485
873,-2.485
874,-2.485
875,-2.485
876,-2.485
877,-2.486
878,-2.486
879,-2.486
880,-2.486
881,-2.486
882,-2.486
883,-2.487
884,-2.487
885,-2.487
886,-2.487
887,-2.487
888,-2.487
889,-2.488
890,-2.488
891,-2.488
892,-2.488
893,-2.488
894,-2.488
895,-2.489
896,-2.489
897,-2.489
898,-2.489
899,-2.489
900,-2.489
901,-2.490
902,-2.490
903,-2.490
904,-2.490
905,-2.490
906,-2.490
907,-2.490
908,-2.491
909,-2.491
910,-2.491
911,-2.491
912,-2.491
913,-2.491
914,-2.492
915,-2.492
916,-2.492
917,-2.492
918,-2.492
919,-2.493
920,-2.493
921,-2.493
922,-2.493
923,-2.493
924,-2.493
925,-2.493
926,-2.494
927,-2.494
928,-2.494
929,-2.494
930,-2.494
931,-2.494
932,-2.494
933,-2.495
934,-2.495
935,-2.495
936,-2.495
937,-2.495
938,-2.495
939,-2.496
940,-2.496
941,-2.496
942,-2.496
943,-2.496
944,-2.496
945,-2.496
946,-2.496
947,-2.497
948,-2.497
949,-2.497
950,-2.497
951,-2.497
952,-2.497
953,-2.497
954,-2.498
955,-2.498
956,-2.498
957,-2.498
958,-2.498
959,-2.498
960,-2.498
961,-2.498
962,-2.499
963,-2.499
964,-2.499
965,-2.499
966,-2.499
967,-2.499
968,-2.500
969,-2.500
970,-2.500
971,-2.500
972,-2.500
973,-2.500
974,-2.500
975,-2.501
976,-2.501
977,-2.501
978,-2.501
979,-2.501
980,-2.501
981,-2.501
982,-2.502
983,-2.502
984,-2.502
985,-2.502
986,-2.502
987,-2.502
988,-2.502
989,-2.502
990,-2.502
991,-2.503
992,-2.503
993,-2.503
994,-2.503
995,-2.503
996,-2.503
997,-2.503
998,-2.503
999,-2.504
1000,-2.504
1001,-2.504
1002,-2.504
1003,-2.504
1004,-2.504
1005,-2.504
1006,-2.504
1007,-2.504
1008,-2.505
1009,-2.505
1010,-2.505
1011,-2.505
1012,-2.505
1013,-2.505
1014,-2.505
1015,-2.505
1016,-2.506
1017,-2.506
1018,-2.506
1019,-2.506
1020,-2.506
1021,-2.506
1022,-2.506
1023,-2.506
1024,-2.506
1025,-2.506
1026,-2.507
1027,-2.507
1028,-2.507
1029,-2.507
1030,-2.507
1031,-2.507
1032,-2.507
1033,-2.508
1034,-2.508
1035,-2.508
1036,-2.508
1037,-2.508
1038,-2.508
1039,-2.508
1040,-2.509
1041,-2.509
1042,-2.509
1043,-2.509
1044,-2.509
1045,-2.509
1046,-2.509
1047,-2.509
1048,-2.509
1049,-2.510
1050,-2.510
1051,-2.510
1052,-2.510
1053,-2.510
1054,-2.510
1055,-2.510
1056,-2.510
1057,-2.510
1058,-2.510
1059,-2.511
1060,-2.511
1061,-2.511
1062,-2.511
1063,-2.511
1064,-2.511
1065,-2.511
1066,-2.511
1067,-2.512
1068,-2.512
1069,-2.512
1070,-2.512
1071,-2.512
1072,-2.512
1073,-2.512
1074,-2.512
1075,-2.512
1076,-2.512
1077,-2.512
1078,-2.513
1079,-2.513
1080,-2.513
1081,-2.513
1082,-2.513
1083,-2.513
1084,-2.513
1085,-2.513
1086,-2.513
1087,-2.514
1088,-2.514
1089,-2.514
1090,-2.514
1091,-2.514
1092,-2.514
1093,-2.514
1094,-2.514
1095,-2.514
1096,-2.514
1097,-2.514
1098,-2.515
1099,-2.515
1100,-2.515
1101,-2.515
1102,-2.515
1103,-2.515
1104,-2.515
1105,-2.515
1106,-2.516
1107,-2.516
1108,-2.516
1109,-2.516
1110,-2.516
1111,-2.516
1112,-2.516
1113,-2.516
1114,-2.516
1115,-2.517
1116,-2.517
1117,-2.517
1118,-2.517
1119,-2.517
1120,-2.517
1121,-2.517
1122,-2.517
1123,-2.517
1124,-2.517
1125,-2.518
1126,-2.518
1127,-2.518
1128,-2.518
1129,-2.518
1130,-2.518
1131,-2.518
1132,-2.518
1133,-2.518
1134,-2.518
1135,-2.519
1136,-2.519
1137,-2.519
1138,-2.519
1139,-2.519
1140,-2.519
1141,-2.519
1142,-2.519
1143,-2.519
1144,-2.519
1145,-2.520
1146,-2.520
1147,-2.520
1148,-2.520
1149,-2.520
1150,-2.520
1151,-2.520
1152,-2.520
1153,-2.520
1154,-2.520
1155,-2.520
1156,-2.520
1157,-2.521
1158,-2.521
1159,-2.521
1160,-2.521
1161,-2.521
1162,-2.521
1163,-2.521
1164,-2.521
1165,-2.521
1166,-2.521
1167,-2.522
1168,-2.522
1169,-2.522
1170,-2.522
1171,-2.522
1172,-2.522
1173,-2.522
1174,-2.522
1175,-2.522
1176,-2.522
1177,-2.522
1178,-2.522
1179,-2.522
1180,-2.523
1181,-2.523
1182,-2.523
1183,-2.523
1184,-2.523
1185,-2.523
1186,-2.523
1187,-2.523
1188,-2.523
1189,-2.524
1190,-2.524
1191,-2.524
1192,-2.524
1193,-2.524
1194,-2.524
1195,-2.524
1196,-2.524
1197,-2.524
1198,-2.524
1199,-2.524
1200,-2.525
1201,-2.525
1202,-2.525
1203,-2.525
1204,-2.525
1205,-2.525
1206,-2.525
1207,-2.525
1208,-2.525
1209,-2.525
1210,-2.525
1211,-2.525
1212,-2.526
1213,-2.526
1214,-2.526
1215,-2.526
1216,-2.526
1217,-2.526
1218,-2.526
1219,-2.526
1220,-2.526
1221,-2.526
1222,-2.526
1223,-2.526
1224,-2.527
1225,-2.527
1226,-2.527
1227,-2.527
1228,-2.527
1229,-2.527
1230,-2.527
1231,-2.527
1232,-2.527
1233,-2.527
1234,-2.527
1235,-2.528
1236,-2.528
1237,-2.528
1238,-2.528
1239,-2.528
1240,-2.528
1241,-2.528
1242,-2.528
1243,-2.528
1244,-2.528
1245,-2.528
1246,-2.528
1247,-2.528
1248,-2.528
1249,-2.528
1250,-2.529
1251,-2.529
1252,-2.529
1253,-2.529
1254,-2.529
1255,-2.529
1256,-2.529
1257,-2.529
1258,-2.529
1259,-2.529
1260,-2.529
1261,-2.529
1262,-2.529
1263,-2.529
1264,-2.530
1265,-2.530
1266,-2.530
1267,-2.530
1268,-2.530
1269,-2.530
1270,-2.530
1271,-2.530
1272,-2.530
1273,-2.530
1274,-2.530
1275,-2.530
1276,-2.530
1277,-2.530
1278,-2.531
1279,-2.531
1280,-2.531
1281,-2.531
1282,-2.531
1283,-2.531
1284,-2.531
1285,-2.531
1286,-2.531
1287,-2.531
1288,-2.531
1289,-2.531
1290,-2.532
1291,-2.532
1292,-2.532
1293,-2.532
1294,-2.532
1295,-2.532
1296,-2.532
1297,-2.532
1298,-2.532
1299,-2.532
1300,-2.532
1301,-2.532
1302,-2.532
1303,-2.532
1304,-2.533
1305,-2.533
1306,-2.533
1307,-2.533
1308,-2.533
1309,-2.533
1310,-2.533
1311,-2.533
1312,-2.533
1313,-2.533
1314,-2.533
1315,-2.533
1316,-2.533
1317,-2.534
1318,-2.534
1319,-2.534
1320,-2.534
1321,-2.534
1322,-2.534
1323,-2.534
1324,-2.534
1325,-2.534
1326,-2.534
1327,-2.534
1328,-2.534
1329,-2.534
1330,-2.534
1331,-2.534
1332,-2.534
1333,-2.535
1334,-2.535
1335,-2.535
1336,-2.535
1337,-2.535
1338,-2.535
1339,-2.535
1340,-2.535
1341,-2.535
1342,-2.535
1343,-2.535
1344,-2.535
1345,-2.535
1346,-2.535
1347,-2.535
1348,-2.535
1349,-2.535
1350,-2.536
1351,-2.536
1352,-2.536
1353,-2.536
1354,-2.536
1355,-2.536
1356,-2.536
1357,-2.536
1358,-2.536
1359,-2.536
1360,-2.536
1361,-2.536
1362,-2.536
1363,-2.536
1364,-2.536
1365,-2.536
1366,-2.536
1367,-2.537
1368,-2.537
1369,-2.537
1370,-2.537
1371,-2.537
1372,-2.537
1373,-2.537
1374,-2.537
1375,-2.537
1376,-2.537
1377,-2.537
1378,-2.537
1379,-2.537
1380,-2.537
1381,-2.537
1382,-2.537
1383,-2.537
1384,-2.538
1385,-2.538
1386,-2.538
1387,-2.538
1388,-2.538
1389,-2.538
1390,-2.538
1391,-2.538
1392,-2.538
1393,-2.538
1394,-2.538
1395,-2.538
1396,-2.538
1397,-2.538
1398,-2.538
1399,-2.538
1400,-2.538
1401,-2.538
1402,-2.538
1403,-2.538
1404,-2.539
1405,-2.539
