# time [s],deformation [mm]
1,-1.072
2,-1.072
3,-1.072
4,-1.072
5,-1.072
6,-1.072
7,-1.072
8,-1.072
9,-1.072
10,-1.072
11,-1.072
12,-1.072
13,-1.072
14,-1.072
15,-1.072
16,-1.072
17,-1.072
18,-1.072
19,-1.072
20,-1.072
21,-1.072
22,-1.072
23,-1.072
24,-1.072
25,-1.074
26,-1.116
27,-1.135
28,-1.143
29,-1.149
30,-1.154
31,-1.159
32,-1.162
33,-1.166
34,-1.169
35,-1.173
36,-1.176
37,-1.178
38,-1.181
39,-1.184
40,-1.186
41,-1.189
42,-1.191
43,-1.193
44,-1.195
45,-1.197
46,-1.199
47,-1.201
48,-1.202
49,-1.205
50,-1.206
51,-1.208
52,-1.210
53,-1.212
54,-1.214
55,-1.215
56,-1.217
57,-1.218
58,-1.220
59,-1.222
60,-1.223
61,-1.224
62,-1.226
63,-1.227
64,-1.229
65,-1.230
66,-1.232
67,-1.233
68,-1.234
69,-1.235
70,-1.237
71,-1.238
72,-1.240
73,-1.241
74,-1.242
75,-1.243
76,-1.245
77,-1.246
78,-1.247
79,-1.248
80,-1.250
81,-1.251
82,-1.252
83,-1.253
84,-1.254
85,-1.255
86,-1.256
87,-1.257
88,-1.258
89,-1.259
90,-1.260
91,-1.261
92,-1.262
93,-1.263
94,-1.264
95,-1.265
96,-1.266
97,-1.268
98,-1.269
99,-1.270
100,-1.271
101,-1.272
102,-1.273
103,-1.274
104,-1.275
105,-1.276
106,-1.277
107,-1.278
108,-1.279
109,-1.280
110,-1.280
111,-1.281
112,-1.282
113,-1.283
114,-1.284
115,-1.285
116,-1.286
117,-1.287
118,-1.288
119,-1.288
120,-1.289
121,-1.290
122,-1.291
123,-1.292
124,-1.293
125,-1.294
126,-1.294
127,-1.295
128,-1.296
129,-1.297
130,-1.298
131,-1.298
132,-1.299
133,-1.300
134,-1.301
135,-1.302
136,-1.303
137,-1.304
138,-1.304
139,-1.305
140,-1.306
141,-1.307
142,-1.308
143,-1.309
144,-1.309
145,-1.310
146,-1.311
147,-1.312
148,-1.313
149,-1.313
150,-1.314
151,-1.315
152,-1.315
153,-1.316
154,-1.317
155,-1.318
156,-1.318
157,-1.319
158,-1.320
159,-1.320
160,-1.321
161,-1.322
162,-1.322
163,-1.323
164,-1.324
165,-1.325
166,-1.325
167,-1.326
168,-1.327
169,-1.327
170,-1.328
171,-1.329
172,-1.329
173,-1.330
174,-1.331
175,-1.331
176,-1.332
177,-1.333
178,-1.334
179,-1.334
180,-1.335
181,-1.336
182,-1.336
183,-1.337
184,-1.338
185,-1.338
186,-1.339
187,-1.340
188,-1.340
189,-1.341
190,-1.342
191,-1.342
192,-1.343
193,-1.344
194,-1.344
195,-1.345
196,-1.345
197,-1.346
198,-1.347
199,-1.347
200,-1.348
201,-1.349
202,-1.349
203,-1.350
204,-1.350
205,-1.351
206,-1.352
207,-1.352
208,-1.353
209,-1.353
210,-1.354
211,-1.354
212,-1.355
213,-1.356
214,-1.356
215,-1.357
216,-1.358
217,-1.358
218,-1.359
219,-1.359
220,-1.360
221,-1.360
222,-1.361
223,-1.361
224,-1.362
225,-1.362
226,-1.363
227,-1.364
228,-1.364
229,-1.365
230,-1.366
231,-1.366
232,-1.367
233,-1.367
234,-1.368
235,-1.368
236,-1.369
237,-1.370
238,-1.370
239,-1.371
240,-1.371
241,-1.372
242,-1.373
243,-1.373
244,-1.374
245,-1.374
246,-1.375
247,-1.376
248,-1.376
249,-1.376
250,-1.377
251,-1.377
252,-1.378
253,-1.379
254,-1.379
255,-1.380
256,-1.380
257,-1.381
258,-1.381
259,-1.382
260,-1.382
261,-1.383
262,-1.383
263,-1.384
264,-1.384
265,-1.385
266,-1.385
267,-1.386
268,-1.386
269,-1.387
270,-1.387
271,-1.388
272,-1.388
273,-1.389
274,-1.389
275,-1.390
276,-1.390
277,-1.391
278,-1.391
279,-1.392
280,-1.392
281,-1.393
282,-1.393
283,-1.394
284,-1.394
285,-1.395
286,-1.395
287,-1.396
288,-1.396
289,-1.397
290,-1.397
291,-1.398
292,-1.398
293,-1.399
294,-1.399
295,-1.400
296,-1.400
297,-1.401
298,-1.402
299,-1.402
300,-1.402
301,-1.403
302,-1.404
303,-1.404
304,-1.405
305,-1.405
306,-1.406
307,-1.406
308,-1.407
309,-1.407
310,-1.408
