# time [s],deformation [mm]
1,-4.284
2,-4.284
3,-4.284
4,-4.284
5,-4.284
6,-4.284
7,-4.284
8,-4.284
9,-4.284
10,-4.284
11,-4.284
12,-4.284
13,-4.284
14,-4.284
15,-4.284
16,-4.284
17,-4.284
18,-4.284
19,-4.349
20,-4.367
21,-4.378
22,-4.387
23,-4.394
24,-4.400
25,-4.406
26,-4.412
27,-4.417
28,-4.422
29,-4.427
30,-4.431
31,-4.435
32,-4.440
33,-4.443
34,-4.447
35,-4.451
36,-4.455
37,-4.458
38,-4.462
39,-4.465
40,-4.468
41,-4.471
42,-4.474
43,-4.477
44,-4.481
45,-4.484
46,-4.486
47,-4.489
48,-4.492
49,-4.494
50,-4.497
51,-4.500
52,-4.502
53,-4.505
54,-4.508
55,-4.510
56,-4.513
57,-4.515
58,-4.517
59,-4.520
60,-4.522
61,-4.524
62,-4.527
63,-4.529
64,-4.531
65,-4.534
66,-4.536
67,-4.538
68,-4.540
69,-4.542
70,-4.544
71,-4.546
72,-4.549
73,-4.550
74,-4.552
75,-4.554
76,-4.556
77,-4.558
78,-4.560
79,-4.562
80,-4.564
81,-4.566
82,-4.568
83,-4.570
84,-4.572
85,-4.574
86,-4.576
87,-4.578
88,-4.580
89,-4.582
90,-4.583
91,-4.585
92,-4.587
93,-4.588
94,-4.590
95,-4.592
96,-4.594
97,-4.595
98,-4.597
99,-4.599
100,-4.600
101,-4.602
102,-4.604
103,-4.606
104,-4.608
105,-4.609
106,-4.611
107,-4.613
108,-4.614
109,-4.616
110,-4.617
111,-4.619
112,-4.620
113,-4.622
114,-4.624
115,-4.625
116,-4.626
117,-4.628
118,-4.630
119,-4.631
120,-4.633
121,-4.634
122,-4.636
123,-4.638
124,-4.639
125,-4.641
126,-4.642
127,-4.644
128,-4.645
129,-4.646
130,-4.648
131,-4.649
132,-4.650
133,-4.652
134,-4.653
135,-4.655
136,-4.656
137,-4.657
138,-4.659
139,-4.660
140,-4.662
141,-4.663
142,-4.664
143,-4.666
144,-4.667
145,-4.669
146,-4.670
147,-4.672
148,-4.673
149,-4.674
150,-4.676
151,-4.677
152,-4.678
153,-4.680
154,-4.681
155,-4.682
156,-4.683
157,-4.684
158,-4.686
159,-4.687
160,-4.688
161,-4.689
162,-4.691
163,-4.692
164,-4.693
165,-4.695
166,-4.696
167,-4.697
168,-4.698
169,-4.700
170,-4.701
171,-4.702
172,-4.704
173,-4.705
174,-4.706
175,-4.707
176,-4.708
177,-4.710
178,-4.711
179,-4.712
180,-4.713
181,-4.714
182,-4.715
183,-4.717
184,-4.718
185,-4.719
186,-4.720
187,-4.721
188,-4.722
189,-4.723
190,-4.725
191,-4.726
192,-4.727
193,-4.728
194,-4.729
195,-4.730
196,-4.732
197,-4.733
198,-4.734
199,-4.735
200,-4.736
201,-4.737
202,-4.739
203,-4.740
204,-4.741
205,-4.742
206,-4.743
207,-4.744
208,-4.745
209,-4.746
210,-4.747
211,-4.748
212,-4.749
213,-4.750
214,-4.751
215,-4.752
216,-4.754
217,-4.754
218,-4.756
219,-4.757
220,-4.758
221,-4.759
222,-4.760
223,-4.761
224,-4.762
225,-4.763
226,-4.764
227,-4.766
228,-4.767
229,-4.768
230,-4.769
231,-4.770
232,-4.771
233,-4.772
234,-4.773
235,-4.774
236,-4.775
237,-4.776
238,-4.777
239,-4.778
240,-4.778
241,-4.780
242,-4.781
243,-4.782
244,-4.783
245,-4.783
246,-4.784
247,-4.785
248,-4.786
249,-4.787
250,-4.789
251,-4.790
252,-4.791
253,-4.792
254,-4.792
255,-4.793
256,-4.794
257,-4.795
258,-4.796
259,-4.798
260,-4.798
261,-4.799
262,-4.800
263,-4.801
264,-4.802
265,-4.803
266,-4.804
267,-4.805
268,-4.806
269,-4.807
270,-4.808
271,-4.809
272,-4.810
273,-4.810
274,-4.811
275,-4.812
276,-4.813
277,-4.814
278,-4.815
279,-4.816
280,-4.817
281,-4.818
282,-4.819
283,-4.820
284,-4.821
285,-4.822
286,-4.823
287,-4.823
288,-4.824
289,-4.825
290,-4.826
291,-4.827
292,-4.828
293,-4.829
294,-4.830
295,-4.831
296,-4.832
297,-4.833
298,-4.833
299,-4.834
300,-4.835
301,-4.836
302,-4.837
303,-4.838
304,-4.839
305,-4.839
306,-4.840
307,-4.841
308,-4.842
309,-4.843
310,-4.844
311,-4.844
312,-4.845
313,-4.846
314,-4.847
315,-4.848
316,-4.848
317,-4.849
318,-4.850
319,-4.851
320,-4.852
321,-4.853
322,-4.854
323,-4.855
324,-4.855
325,-4.856
326,-4.857
327,-4.858
328,-4.859
329,-4.860
330,-4.861
331,-4.862
332,-4.862
333,-4.863
334,-4.864
335,-4.865
336,-4.866
337,-4.866
338,-4.867
339,-4.868
340,-4.869
341,-4.870
342,-4.870
343,-4.871
344,-4.872
345,-4.873
346,-4.874
347,-4.874
348,-4.875
349,-4.876
350,-4.877
351,-4.877
352,-4.878
353,-4.879
354,-4.880
355,-4.881
356,-4.881
357,-4.882
358,-4.883
359,-4.884
360,-4.885
361,-4.885
362,-4.886
363,-4.887
364,-4.888
365,-4.888
366,-4.889
367,-4.890
368,-4.891
369,-4.892
370,-4.893
371,-4.893
372,-4.894
373,-4.895
374,-4.896
375,-4.896
376,-4.897
377,-4.898
378,-4.899
379,-4.899
380,-4.900
381,-4.901
382,-4.902
383,-4.902
384,-4.903
385,-4.904
386,-4.904
387,-4.905
388,-4.906
389,-4.906
390,-4.907
391,-4.908
392,-4.909
393,-4.910
394,-4.910
395,-4.911
396,-4.912
397,-4.912
398,-4.913
399,-4.914
400,-4.914
401,-4.915
402,-4.916
403,-4.917
404,-4.917
405,-4.918
406,-4.919
407,-4.920
408,-4.920
409,-4.921
410,-4.922
411,-4.922
412,-4.923
413,-4.924
414,-4.925
415,-4.925
416,-4.926
417,-4.927
418,-4.928
419,-4.928
420,-4.929
421,-4.930
422,-4.930
423,-4.931
424,-4.932
425,-4.932
426,-4.933
427,-4.934
428,-4.934
429,-4.935
430,-4.936
431,-4.936
432,-4.937
433,-4.938
434,-4.938
435,-4.939
436,-4.940
437,-4.940
438,-4.941
439,-4.942
440,-4.943
441,-4.943
442,-4.944
443,-4.944
444,-4.945
445,-4.946
446,-4.946
447,-4.947
448,-4.948
449,-4.948
450,-4.949
451,-4.950
452,-4.950
453,-4.951
454,-4.952
455,-4.952
456,-4.953
457,-4.954
458,-4.954
459,-4.955
460,-4.956
461,-4.957
462,-4.957
463,-4.958
464,-4.959
465,-4.959
466,-4.960
467,-4.960
468,-4.961
469,-4.962
470,-4.962
471,-4.963
472,-4.964
473,-4.964
474,-4.965
475,-4.966
476,-4.966
477,-4.967
478,-4.967
479,-4.968
480,-4.969
481,-4.969
482,-4.970
483,-4.970
484,-4.971
485,-4.972
486,-4.972
487,-4.973
488,-4.973
489,-4.974
490,-4.975
491,-4.975
492,-4.976
493,-4.976
494,-4.977
495,-4.977
496,-4.978
497,-4.979
498,-4.979
499,-4.980
500,-4.981
501,-4.981
502,-4.982
503,-4.982
504,-4.983
505,-4.984
506,-4.984
507,-4.985
508,-4.986
509,-4.986
510,-4.987
511,-4.987
512,-4.988
513,-4.989
514,-4.989
515,-4.990
516,-4.991
517,-4.991
518,-4.992
519,-4.992
520,-4.993
521,-4.993
522,-4.994
523,-4.995
524,-4.995
525,-4.996
526,-4.997
527,-4.997
528,-4.998
529,-4.998
530,-4.999
531,-4.999
532,-5.000
533,-5.000
534,-5.001
535,-5.001
536,-5.002
537,-5.002
538,-5.003
539,-5.004
540,-5.004
541,-5.005
542,-5.005
543,-5.006
544,-5.006
545,-5.007
546,-5.008
547,-5.008
548,-5.009
549,-5.009
550,-5.010
551,-5.010
552,-5.011
553,-5.011
554,-5.012
555,-5.013
556,-5.013
557,-5.014
558,-5.014
559,-5.015
560,-5.016
561,-5.016
562,-5.017
563,-5.017
564,-5.018
565,-5.018
566,-5.019
567,-5.019
568,-5.020
569,-5.021
570,-5.021
571,-5.022
572,-5.022
573,-5.023
574,-5.024
575,-5.024
576,-5.025
577,-5.025
578,-5.026
579,-5.026
580,-5.027
581,-5.027
582,-5.028
583,-5.028
584,-5.029
585,-5.029
586,-5.030
587,-5.030
588,-5.031
589,-5.032
590,-5.032
591,-5.032
592,-5.033
593,-5.033
594,-5.034
595,-5.034
596,-5.035
