# time [s],deformation [mm]
1,-2.732
2,-2.732
3,-2.732
4,-2.732
5,-2.732
6,-2.732
7,-2.732
8,-2.732
9,-2.732
10,-2.732
11,-2.733
12,-2.733
13,-2.733
14,-2.733
15,-2.733
16,-2.733
17,-2.733
18,-2.733
19,-2.733
20,-2.794
21,-2.815
22,-2.827
23,-2.836
24,-2.844
25,-2.851
26,-2.857
27,-2.863
28,-2.869
29,-2.874
30,-2.880
31,-2.884
32,-2.889
33,-2.893
34,-2.897
35,-2.901
36,-2.905
37,-2.910
38,-2.913
39,-2.917
40,-2.921
41,-2.924
42,-2.927
43,-2.931
44,-2.934
45,-2.937
46,-2.941
47,-2.944
48,-2.947
49,-2.951
50,-2.953
51,-2.956
52,-2.959
53,-2.962
54,-2.965
55,-2.968
56,-2.970
57,-2.974
58,-2.976
59,-2.979
60,-2.981
61,-2.984
62,-2.986
63,-2.989
64,-2.992
65,-2.994
66,-2.997
67,-2.999
68,-3.002
69,-3.004
70,-3.007
71,-3.009
72,-3.012
73,-3.014
74,-3.016
75,-3.018
76,-3.021
77,-3.023
78,-3.025
79,-3.027
80,-3.030
81,-3.032
82,-3.034
83,-3.036
84,-3.038
85,-3.041
86,-3.043
87,-3.045
88,-3.047
89,-3.049
90,-3.051
91,-3.053
92,-3.055
93,-3.057
94,-3.059
95,-3.061
96,-3.063
97,-3.065
98,-3.067
99,-3.069
100,-3.071
101,-3.073
102,-3.075
103,-3.077
104,-3.079
105,-3.080
106,-3.082
107,-3.084
108,-3.086
109,-3.088
110,-3.090
111,-3.092
112,-3.093
113,-3.095
114,-3.097
115,-3.099
116,-3.101
117,-3.103
118,-3.105
119,-3.106
120,-3.108
121,-3.110
122,-3.111
123,-3.113
124,-3.114
125,-3.116
126,-3.118
127,-3.120
128,-3.121
129,-3.123
130,-3.124
131,-3.126
132,-3.128
133,-3.130
134,-3.131
135,-3.133
136,-3.135
137,-3.136
138,-3.138
139,-3.140
140,-3.141
141,-3.142
142,-3.144
143,-3.146
144,-3.147
145,-3.149
146,-3.150
147,-3.152
148,-3.153
149,-3.155
150,-3.156
151,-3.158
152,-3.160
153,-3.161
154,-3.162
155,-3.164
156,-3.166
157,-3.167
158,-3.169
159,-3.170
160,-3.172
161,-3.173
162,-3.175
163,-3.176
164,-3.177
165,-3.179
166,-3.180
167,-3.182
168,-3.183
169,-3.184
170,-3.186
171,-3.187
172,-3.189
173,-3.190
174,-3.192
175,-3.193
176,-3.195
177,-3.196
178,-3.198
179,-3.199
180,-3.200
181,-3.202
182,-3.203
183,-3.204
184,-3.206
185,-3.207
186,-3.208
187,-3.210
188,-3.211
189,-3.212
190,-3.213
191,-3.215
192,-3.216
193,-3.217
194,-3.218
195,-3.220
196,-3.221
197,-3.223
198,-3.224
199,-3.225
200,-3.226
201,-3.228
202,-3.229
203,-3.231
204,-3.232
205,-3.233
206,-3.234
207,-3.236
208,-3.237
209,-3.238
210,-3.239
211,-3.240
212,-3.242
213,-3.243
214,-3.244
215,-3.245
216,-3.246
217,-3.248
218,-3.249
219,-3.250
220,-3.251
221,-3.252
222,-3.254
223,-3.255
224,-3.256
225,-3.257
226,-3.259
227,-3.260
228,-3.261
229,-3.262
230,-3.264
231,-3.264
232,-3.266
233,-3.267
234,-3.268
235,-3.269
236,-3.271
237,-3.272
238,-3.273
239,-3.274
240,-3.275
241,-3.276
242,-3.277
243,-3.278
244,-3.279
245,-3.280
246,-3.281
247,-3.282
248,-3.284
249,-3.285
250,-3.286
251,-3.287
252,-3.288
253,-3.289
254,-3.290
255,-3.292
256,-3.293
257,-3.294
258,-3.295
259,-3.296
260,-3.297
261,-3.298
262,-3.299
263,-3.301
264,-3.302
265,-3.303
266,-3.304
267,-3.305
268,-3.306
269,-3.307
270,-3.308
271,-3.309
272,-3.310
273,-3.311
274,-3.312
275,-3.313
276,-3.314
277,-3.315
278,-3.316
279,-3.317
280,-3.318
281,-3.319
282,-3.320
283,-3.321
284,-3.322
285,-3.324
286,-3.325
287,-3.326
288,-3.327
289,-3.328
290,-3.329
291,-3.330
292,-3.331
293,-3.332
294,-3.333
295,-3.334
296,-3.335
297,-3.336
298,-3.337
299,-3.338
300,-3.339
301,-3.340
302,-3.341
303,-3.342
304,-3.343
305,-3.344
306,-3.344
307,-3.345
308,-3.346
309,-3.347
310,-3.348
311,-3.350
312,-3.350
313,-3.351
314,-3.352
315,-3.354
316,-3.354
317,-3.355
318,-3.356
319,-3.358
320,-3.359
321,-3.359
322,-3.360
323,-3.361
324,-3.362
325,-3.363
326,-3.364
327,-3.365
328,-3.366
329,-3.367
330,-3.368
331,-3.369
332,-3.370
333,-3.370
334,-3.371
335,-3.372
336,-3.373
337,-3.374
338,-3.375
339,-3.376
340,-3.377
341,-3.378
342,-3.378
343,-3.380
344,-3.381
345,-3.381
346,-3.382
347,-3.383
348,-3.384
349,-3.385
350,-3.386
351,-3.387
352,-3.388
353,-3.389
354,-3.390
355,-3.391
356,-3.392
357,-3.392
358,-3.393
359,-3.394
360,-3.395
361,-3.396
362,-3.397
363,-3.398
364,-3.399
365,-3.399
366,-3.400
367,-3.401
368,-3.402
369,-3.403
370,-3.404
371,-3.405
372,-3.405
373,-3.406
374,-3.407
375,-3.408
376,-3.409
377,-3.409
378,-3.410
379,-3.411
380,-3.412
381,-3.413
382,-3.414
383,-3.415
384,-3.416
385,-3.416
386,-3.417
387,-3.418
388,-3.419
389,-3.420
390,-3.421
