# time [s],deformation [mm]
1,-3.064
2,-3.064
3,-3.064
4,-3.064
5,-3.064
6,-3.064
7,-3.064
8,-3.064
9,-3.064
10,-3.064
11,-3.064
12,-3.064
13,-3.064
14,-3.064
15,-3.064
16,-3.064
17,-3.064
18,-3.064
19,-3.064
20,-3.064
21,-3.064
22,-3.064
23,-3.064
24,-3.064
25,-3.064
26,-3.064
27,-3.064
28,-3.064
29,-3.064
30,-3.064
31,-3.064
32,-3.064
33,-3.064
34,-3.064
35,-3.064
36,-3.064
37,-3.064
38,-3.064
39,-3.064
40,-3.064
41,-3.064
42,-3.064
43,-3.064
44,-3.064
45,-3.064
46,-3.064
47,-3.064
48,-3.064
49,-3.064
50,-3.064
51,-3.064
52,-3.064
53,-3.064
54,-3.064
55,-3.065
56,-3.065
57,-3.071
58,-3.163
59,-3.177
60,-3.188
61,-3.195
62,-3.203
63,-3.209
64,-3.214
65,-3.219
66,-3.225
67,-3.229
68,-3.233
69,-3.237
70,-3.241
71,-3.245
72,-3.249
73,-3.252
74,-3.256
75,-3.259
76,-3.262
77,-3.265
78,-3.268
79,-3.271
80,-3.274
81,-3.277
82,-3.279
83,-3.282
84,-3.285
85,-3.288
86,-3.290
87,-3.293
88,-3.295
89,-3.298
90,-3.300
91,-3.302
92,-3.305
93,-3.307
94,-3.309
95,-3.311
96,-3.314
97,-3.316
98,-3.318
99,-3.320
100,-3.322
101,-3.325
102,-3.327
103,-3.329
104,-3.331
105,-3.333
106,-3.334
107,-3.336
108,-3.338
109,-3.340
110,-3.342
111,-3.344
112,-3.346
113,-3.348
114,-3.350
115,-3.351
116,-3.353
117,-3.355
118,-3.357
119,-3.359
120,-3.360
121,-3.362
122,-3.364
123,-3.365
124,-3.367
125,-3.369
126,-3.370
127,-3.372
128,-3.374
129,-3.375
130,-3.377
131,-3.379
132,-3.380
133,-3.382
134,-3.383
135,-3.385
136,-3.387
137,-3.388
138,-3.390
139,-3.391
140,-3.393
141,-3.394
142,-3.396
143,-3.397
144,-3.399
145,-3.400
146,-3.401
147,-3.403
148,-3.404
149,-3.406
150,-3.407
151,-3.409
152,-3.410
153,-3.412
154,-3.413
155,-3.414
156,-3.416
157,-3.417
158,-3.419
159,-3.420
160,-3.422
161,-3.423
162,-3.424
163,-3.425
164,-3.427
165,-3.428
166,-3.429
167,-3.431
168,-3.432
169,-3.433
170,-3.434
171,-3.436
172,-3.437
173,-3.438
174,-3.439
175,-3.440
176,-3.442
177,-3.443
178,-3.444
179,-3.445
180,-3.447
181,-3.448
182,-3.449
183,-3.450
184,-3.451
185,-3.453
186,-3.454
187,-3.455
188,-3.456
189,-3.457
190,-3.458
191,-3.459
192,-3.460
193,-3.461
194,-3.462
195,-3.463
196,-3.464
197,-3.465
198,-3.466
199,-3.467
200,-3.468
201,-3.469
202,-3.470
203,-3.471
204,-3.472
205,-3.473
206,-3.474
207,-3.475
208,-3.476
209,-3.478
210,-3.479
211,-3.480
212,-3.481
213,-3.482
214,-3.483
215,-3.484
216,-3.485
217,-3.486
218,-3.487
219,-3.488
220,-3.489
221,-3.490
222,-3.491
223,-3.492
224,-3.493
225,-3.494
226,-3.495
227,-3.496
228,-3.497
229,-3.498
230,-3.499
231,-3.500
232,-3.501
233,-3.502
234,-3.503
235,-3.504
236,-3.505
237,-3.506
238,-3.507
239,-3.508
240,-3.509
241,-3.510
242,-3.511
243,-3.512
244,-3.513
245,-3.514
246,-3.515
247,-3.516
248,-3.517
249,-3.518
250,-3.519
251,-3.519
252,-3.520
253,-3.521
254,-3.522
255,-3.523
256,-3.524
257,-3.525
258,-3.526
259,-3.527
260,-3.528
261,-3.528
262,-3.529
263,-3.530
264,-3.531
265,-3.532
266,-3.533
267,-3.534
268,-3.535
269,-3.536
270,-3.537
271,-3.538
272,-3.538
273,-3.539
274,-3.540
275,-3.541
276,-3.542
277,-3.543
278,-3.544
279,-3.545
280,-3.546
281,-3.547
282,-3.548
283,-3.549
284,-3.549
285,-3.550
286,-3.551
287,-3.552
288,-3.553
289,-3.554
290,-3.554
291,-3.555
292,-3.556
293,-3.557
294,-3.558
295,-3.559
296,-3.559
297,-3.560
298,-3.561
299,-3.562
300,-3.563
301,-3.563
302,-3.564
303,-3.565
304,-3.566
305,-3.567
306,-3.568
307,-3.568
308,-3.569
309,-3.570
310,-3.571
311,-3.572
312,-3.573
313,-3.573
314,-3.574
315,-3.575
316,-3.576
317,-3.577
318,-3.578
319,-3.578
320,-3.579
321,-3.580
322,-3.581
323,-3.582
324,-3.582
325,-3.583
326,-3.584
327,-3.585
328,-3.585
329,-3.586
330,-3.587
331,-3.587
332,-3.588
333,-3.589
334,-3.590
335,-3.590
336,-3.591
337,-3.592
338,-3.593
339,-3.593
340,-3.594
341,-3.595
342,-3.596
343,-3.596
344,-3.597
345,-3.598
346,-3.598
347,-3.599
348,-3.600
349,-3.601
350,-3.601
351,-3.602
352,-3.603
353,-3.604
354,-3.605
355,-3.605
356,-3.606
357,-3.607
358,-3.608
359,-3.608
360,-3.609
361,-3.610
362,-3.611
363,-3.611
364,-3.612
365,-3.613
366,-3.614
367,-3.614
368,-3.615
369,-3.616
370,-3.616
371,-3.617
372,-3.618
373,-3.619
374,-3.619
375,-3.620
376,-3.621
377,-3.621
378,-3.622
379,-3.623
380,-3.623
381,-3.624
382,-3.625
383,-3.625
384,-3.626
385,-3.627
386,-3.627
387,-3.628
388,-3.629
389,-3.630
390,-3.630
391,-3.631
392,-3.632
393,-3.632
394,-3.633
395,-3.634
396,-3.634
397,-3.635
398,-3.636
399,-3.637
400,-3.637
401,-3.638
402,-3.639
403,-3.639
404,-3.640
405,-3.641
406,-3.642
407,-3.642
408,-3.643
409,-3.644
