# time [s],deformation [mm]
1,0.315
2,0.315
3,0.315
4,0.315
5,0.315
6,0.315
7,0.315
8,0.315
9,0.315
10,0.315
11,0.315
12,0.315
13,0.315
14,0.315
15,0.315
16,0.315
17,0.315
18,0.315
19,0.315
20,0.315
21,0.315
22,0.312
23,0.185
24,0.176
25,0.170
26,0.165
27,0.162
28,0.159
29,0.156
30,0.154
31,0.152
32,0.151
33,0.149
34,0.148
35,0.146
36,0.145
37,0.144
38,0.142
39,0.142
40,0.140
41,0.139
42,0.138
43,0.137
44,0.136
45,0.136
46,0.135
47,0.134
48,0.133
49,0.132
50,0.132
51,0.131
52,0.130
53,0.129
54,0.129
55,0.128
56,0.128
57,0.127
58,0.127
59,0.126
60,0.126
61,0.125
62,0.124
63,0.124
64,0.123
65,0.123
66,0.122
67,0.122
68,0.121
69,0.121
70,0.121
71,0.120
72,0.120
73,0.119
74,0.119
75,0.119
76,0.118
77,0.118
78,0.117
79,0.117
80,0.117
81,0.116
82,0.116
83,0.115
84,0.115
85,0.115
86,0.114
87,0.114
88,0.113
89,0.113
90,0.113
91,0.112
92,0.112
93,0.112
94,0.112
95,0.111
96,0.111
97,0.111
98,0.110
99,0.110
100,0.110
101,0.109
102,0.109
103,0.109
104,0.108
105,0.108
106,0.108
107,0.107
108,0.107
109,0.107
110,0.106
111,0.106
112,0.106
113,0.105
114,0.105
115,0.105
116,0.105
117,0.104
118,0.104
119,0.104
120,0.104
121,0.103
122,0.103
123,0.103
124,0.103
125,0.102
126,0.102
127,0.102
128,0.102
129,0.101
130,0.101
131,0.101
132,0.101
133,0.100
134,0.100
135,0.100
136,0.100
137,0.099
138,0.099
139,0.099
140,0.099
141,0.098
142,0.098
143,0.098
144,0.098
145,0.098
146,0.097
147,0.097
148,0.097
149,0.097
150,0.097
151,0.096
152,0.096
153,0.096
154,0.096
155,0.095
156,0.095
157,0.095
158,0.095
159,0.095
160,0.095
161,0.094
162,0.094
163,0.094
164,0.094
165,0.094
166,0.093
167,0.093
168,0.093
169,0.093
170,0.093
171,0.092
172,0.092
173,0.092
174,0.092
175,0.091
176,0.091
177,0.091
178,0.091
179,0.091
180,0.091
181,0.090
182,0.090
183,0.090
184,0.090
185,0.090
186,0.090
187,0.089
188,0.089
189,0.089
190,0.089
191,0.089
192,0.089
193,0.088
194,0.088
195,0.088
196,0.088
197,0.088
198,0.088
199,0.087
200,0.087
201,0.087
202,0.087
203,0.087
204,0.087
205,0.086
206,0.086
207,0.086
208,0.086
209,0.086
210,0.086
211,0.086
212,0.086
213,0.085
214,0.085
215,0.085
216,0.085
217,0.085
218,0.085
219,0.084
220,0.084
221,0.084
222,0.084
223,0.084
224,0.084
225,0.083
226,0.083
227,0.083
228,0.083
229,0.083
230,0.083
231,0.083
232,0.082
233,0.082
234,0.082
235,0.082
236,0.082
237,0.082
238,0.082
239,0.081
240,0.081
241,0.081
242,0.081
243,0.081
244,0.081
245,0.081
246,0.080
247,0.080
248,0.080
249,0.080
250,0.080
251,0.080
252,0.080
253,0.079
254,0.079
255,0.079
256,0.079
257,0.079
258,0.079
259,0.079
260,0.079
261,0.078
262,0.078
263,0.078
264,0.078
265,0.078
266,0.078
267,0.077
268,0.077
269,0.077
270,0.077
271,0.077
272,0.077
273,0.077
274,0.077
275,0.076
276,0.076
277,0.076
278,0.076
279,0.076
280,0.076
281,0.076
282,0.075
283,0.075
284,0.075
285,0.075
286,0.075
287,0.075
288,0.075
289,0.074
290,0.074
291,0.074
292,0.074
293,0.074
294,0.074
295,0.074
296,0.074
297,0.073
298,0.073
299,0.073
300,0.073
301,0.073
302,0.073
303,0.073
304,0.073
305,0.072
306,0.072
307,0.072
308,0.072
309,0.072
310,0.072
311,0.072
312,0.072
313,0.072
314,0.071
315,0.071
316,0.071
317,0.071
318,0.071
319,0.071
320,0.071
321,0.071
322,0.071
323,0.070
324,0.070
325,0.070
326,0.070
327,0.070
328,0.070
329,0.070
330,0.070
331,0.069
332,0.069
333,0.069
334,0.069
335,0.069
336,0.069
337,0.069
338,0.069
339,0.069
340,0.068
341,0.068
342,0.068
343,0.068
344,0.068
345,0.068
346,0.068
347,0.068
348,0.067
349,0.067
350,0.067
351,0.067
352,0.067
353,0.067
354,0.067
355,0.067
356,0.066
357,0.066
358,0.066
359,0.066
360,0.066
361,0.066
362,0.066
363,0.066
364,0.066
365,0.066
366,0.066
367,0.065
368,0.065
369,0.065
370,0.065
371,0.065
372,0.065
373,0.065
374,0.065
375,0.065
376,0.065
377,0.065
378,0.065
379,0.064
380,0.064
381,0.064
382,0.064
383,0.064
384,0.064
385,0.064
386,0.064
387,0.064
388,0.063
389,0.063
390,0.063
391,0.063
392,0.063
393,0.063
394,0.063
395,0.063
396,0.063
397,0.063
398,0.063
399,0.062
400,0.062
401,0.062
402,0.062
403,0.062
404,0.062
405,0.062
406,0.062
407,0.062
408,0.062
409,0.062
410,0.061
411,0.061
412,0.061
413,0.061
414,0.061
415,0.061
416,0.061
417,0.061
418,0.061
419,0.061
420,0.060
