# time [s],deformation [mm]
1,-1.999
2,-1.999
3,-1.999
4,-1.999
5,-1.999
6,-1.999
7,-1.999
8,-1.999
9,-1.999
10,-1.999
11,-1.999
12,-1.999
13,-1.999
14,-1.999
15,-1.999
16,-1.999
17,-1.999
18,-1.999
19,-1.999
20,-1.999
21,-1.999
22,-1.999
23,-1.999
24,-1.999
25,-1.999
26,-1.999
27,-1.999
28,-1.999
29,-1.999
30,-2.000
31,-2.000
32,-2.000
33,-2.000
34,-2.000
35,-2.000
36,-2.000
37,-2.000
38,-2.000
39,-2.000
40,-2.000
41,-2.000
42,-2.000
43,-2.000
44,-2.000
45,-2.092
46,-2.112
47,-2.124
48,-2.133
49,-2.141
50,-2.148
51,-2.155
52,-2.160
53,-2.166
54,-2.171
55,-2.176
56,-2.180
57,-2.184
58,-2.188
59,-2.192
60,-2.195
61,-2.199
62,-2.203
63,-2.206
64,-2.209
65,-2.212
66,-2.215
67,-2.218
68,-2.220
69,-2.223
70,-2.226
71,-2.228
72,-2.231
73,-2.234
74,-2.236
75,-2.238
76,-2.240
77,-2.243
78,-2.245
79,-2.247
80,-2.249
81,-2.251
82,-2.253
83,-2.255
84,-2.257
85,-2.259
86,-2.260
87,-2.262
88,-2.264
89,-2.266
90,-2.268
91,-2.269
92,-2.271
93,-2.273
94,-2.274
95,-2.276
96,-2.277
97,-2.278
98,-2.280
99,-2.281
100,-2.283
101,-2.284
102,-2.286
103,-2.287
104,-2.288
105,-2.290
106,-2.291
107,-2.292
108,-2.293
109,-2.295
110,-2.296
111,-2.297
112,-2.299
113,-2.300
114,-2.301
115,-2.302
116,-2.303
117,-2.304
118,-2.305
119,-2.307
120,-2.308
121,-2.308
122,-2.309
123,-2.310
124,-2.311
125,-2.313
126,-2.313
127,-2.314
128,-2.315
129,-2.316
130,-2.317
131,-2.318
132,-2.319
133,-2.320
134,-2.321
135,-2.322
136,-2.322
137,-2.323
138,-2.324
139,-2.325
140,-2.326
141,-2.326
142,-2.327
143,-2.328
144,-2.329
145,-2.330
146,-2.331
147,-2.331
148,-2.332
149,-2.333
150,-2.333
151,-2.334
152,-2.335
153,-2.335
154,-2.336
155,-2.337
156,-2.337
157,-2.338
158,-2.339
159,-2.339
160,-2.340
161,-2.340
162,-2.341
163,-2.342
164,-2.342
165,-2.343
166,-2.343
167,-2.344
168,-2.344
169,-2.345
170,-2.346
171,-2.346
172,-2.347
173,-2.347
174,-2.348
175,-2.348
176,-2.349
177,-2.349
178,-2.350
179,-2.350
180,-2.350
181,-2.351
182,-2.352
183,-2.352
184,-2.353
185,-2.353
186,-2.353
187,-2.354
188,-2.354
189,-2.355
190,-2.355
191,-2.356
192,-2.356
193,-2.356
194,-2.357
195,-2.357
196,-2.358
197,-2.358
198,-2.359
199,-2.359
200,-2.359
201,-2.360
202,-2.360
203,-2.361
204,-2.361
205,-2.362
206,-2.362
207,-2.362
208,-2.363
209,-2.363
210,-2.363
211,-2.364
212,-2.364
213,-2.364
214,-2.365
215,-2.365
216,-2.365
217,-2.366
218,-2.366
219,-2.366
220,-2.367
221,-2.367
222,-2.367
223,-2.368
224,-2.368
225,-2.368
226,-2.369
227,-2.369
228,-2.369
229,-2.370
230,-2.370
231,-2.370
232,-2.370
233,-2.371
234,-2.371
235,-2.371
236,-2.371
237,-2.372
238,-2.372
239,-2.372
240,-2.372
