# time [s],deformation [mm]
1,-3.102
2,-3.102
3,-3.102
4,-3.102
5,-3.102
6,-3.102
7,-3.102
8,-3.102
9,-3.102
10,-3.102
11,-3.102
12,-3.102
13,-3.102
14,-3.102
15,-3.102
16,-3.102
17,-3.102
18,-3.102
19,-3.103
20,-3.103
21,-3.103
22,-3.103
23,-3.103
24,-3.103
25,-3.103
26,-3.103
27,-3.103
28,-3.103
29,-3.103
30,-3.103
31,-3.103
32,-3.184
33,-3.234
34,-3.254
35,-3.271
36,-3.285
37,-3.297
38,-3.308
39,-3.319
40,-3.329
41,-3.338
42,-3.346
43,-3.353
44,-3.361
45,-3.370
46,-3.376
47,-3.381
48,-3.387
49,-3.392
50,-3.397
51,-3.403
52,-3.408
53,-3.413
54,-3.418
55,-3.422
56,-3.427
57,-3.431
58,-3.435
59,-3.439
60,-3.443
61,-3.447
62,-3.451
63,-3.454
64,-3.458
65,-3.461
66,-3.465
67,-3.468
68,-3.471
69,-3.474
70,-3.477
71,-3.480
72,-3.483
73,-3.486
74,-3.488
75,-3.491
76,-3.493
77,-3.495
78,-3.498
79,-3.500
80,-3.503
81,-3.505
82,-3.507
83,-3.509
84,-3.512
85,-3.514
86,-3.516
87,-3.518
88,-3.520
89,-3.522
90,-3.524
91,-3.526
92,-3.527
93,-3.529
94,-3.531
95,-3.532
96,-3.534
97,-3.536
98,-3.537
99,-3.539
100,-3.541
101,-3.542
102,-3.544
103,-3.545
104,-3.547
105,-3.548
106,-3.549
107,-3.551
108,-3.552
109,-3.553
110,-3.555
111,-3.556
112,-3.557
113,-3.558
114,-3.559
115,-3.561
116,-3.562
117,-3.563
118,-3.564
119,-3.565
120,-3.566
121,-3.567
122,-3.568
123,-3.569
124,-3.570
125,-3.571
126,-3.572
127,-3.573
128,-3.574
129,-3.575
130,-3.576
131,-3.577
132,-3.578
133,-3.578
134,-3.579
135,-3.580
136,-3.581
137,-3.582
138,-3.583
139,-3.583
140,-3.584
141,-3.585
142,-3.586
143,-3.586
144,-3.587
145,-3.588
146,-3.588
147,-3.589
148,-3.590
149,-3.590
150,-3.591
151,-3.592
152,-3.592
153,-3.593
154,-3.594
155,-3.594
156,-3.595
157,-3.595
158,-3.596
159,-3.596
160,-3.597
161,-3.597
162,-3.598
163,-3.599
164,-3.599
165,-3.600
166,-3.600
167,-3.601
168,-3.601
169,-3.602
170,-3.602
171,-3.603
172,-3.604
173,-3.604
174,-3.604
175,-3.605
176,-3.605
177,-3.606
178,-3.606
179,-3.607
180,-3.607
181,-3.608
182,-3.608
183,-3.609
184,-3.609
185,-3.610
186,-3.610
187,-3.611
188,-3.611
189,-3.611
190,-3.612
191,-3.612
192,-3.612
193,-3.613
194,-3.613
195,-3.614
196,-3.614
197,-3.614
198,-3.615
199,-3.615
200,-3.616
201,-3.616
202,-3.616
203,-3.617
204,-3.617
205,-3.617
206,-3.618
207,-3.618
208,-3.618
209,-3.619
210,-3.619
211,-3.619
212,-3.620
213,-3.620
214,-3.620
215,-3.620
216,-3.621
217,-3.621
218,-3.621
219,-3.622
220,-3.622
221,-3.622
222,-3.622
223,-3.623
224,-3.623
225,-3.623
226,-3.624
227,-3.624
228,-3.624
229,-3.624
230,-3.625
231,-3.625
232,-3.625
233,-3.626
234,-3.626
235,-3.626
236,-3.626
237,-3.627
238,-3.627
239,-3.627
240,-3.627
241,-3.628
242,-3.628
243,-3.628
244,-3.628
245,-3.629
246,-3.629
247,-3.629
248,-3.629
249,-3.629
250,-3.630
251,-3.630
252,-3.630
253,-3.630
254,-3.631
255,-3.631
256,-3.631
257,-3.631
258,-3.632
259,-3.632
260,-3.632
261,-3.632
262,-3.633
263,-3.633
264,-3.633
265,-3.633
266,-3.633
267,-3.634
268,-3.634
269,-3.634
270,-3.634
271,-3.634
272,-3.635
273,-3.635
274,-3.635
275,-3.635
276,-3.635
277,-3.636
278,-3.636
279,-3.636
280,-3.636
281,-3.636
282,-3.636
283,-3.637
284,-3.637
285,-3.637
286,-3.637
287,-3.637
288,-3.638
289,-3.638
290,-3.638
291,-3.638
292,-3.638
293,-3.639
294,-3.639
295,-3.639
296,-3.639
297,-3.639
298,-3.640
299,-3.640
300,-3.640
301,-3.640
302,-3.640
303,-3.640
304,-3.641
305,-3.641
306,-3.641
307,-3.641
308,-3.641
309,-3.641
310,-3.642
311,-3.642
312,-3.642
313,-3.642
314,-3.642
315,-3.642
316,-3.643
317,-3.643
318,-3.643
319,-3.643
320,-3.643
321,-3.643
322,-3.643
323,-3.644
324,-3.644
325,-3.644
326,-3.644
327,-3.644
328,-3.644
329,-3.644
330,-3.645
331,-3.645
332,-3.645
333,-3.645
334,-3.645
335,-3.645
336,-3.645
337,-3.646
338,-3.646
339,-3.646
340,-3.646
341,-3.646
342,-3.646
343,-3.646
344,-3.647
345,-3.647
346,-3.647
347,-3.647
348,-3.647
349,-3.647
350,-3.647
351,-3.647
352,-3.648
353,-3.648
354,-3.648
355,-3.648
356,-3.648
357,-3.648
358,-3.648
359,-3.649
360,-3.649
361,-3.649
362,-3.649
363,-3.649
364,-3.649
365,-3.649
366,-3.649
367,-3.649
368,-3.649
369,-3.650
370,-3.650
371,-3.650
372,-3.650
373,-3.650
374,-3.650
375,-3.650
376,-3.650
377,-3.650
378,-3.651
379,-3.651
380,-3.651
381,-3.651
382,-3.651
383,-3.651
384,-3.651
385,-3.651
386,-3.651
387,-3.652
388,-3.652
389,-3.652
390,-3.652
391,-3.652
392,-3.652
393,-3.652
394,-3.652
395,-3.652
396,-3.652
397,-3.653
398,-3.653
399,-3.653
400,-3.653
401,-3.653
402,-3.653
403,-3.653
404,-3.653
405,-3.653
406,-3.653
407,-3.654
408,-3.654
409,-3.654
410,-3.654
411,-3.654
412,-3.654
413,-3.654
414,-3.654
415,-3.654
416,-3.654
417,-3.654
418,-3.655
419,-3.655
420,-3.655
421,-3.655
422,-3.655
423,-3.655
424,-3.655
425,-3.655
426,-3.655
427,-3.655
428,-3.656
429,-3.656
430,-3.656
431,-3.656
432,-3.656
433,-3.656
434,-3.656
435,-3.656
436,-3.656
437,-3.656
438,-3.657
439,-3.657
440,-3.657
441,-3.657
442,-3.657
443,-3.657
444,-3.657
445,-3.657
446,-3.657
447,-3.657
448,-3.657
449,-3.658
450,-3.658
451,-3.658
452,-3.658
453,-3.658
454,-3.658
455,-3.658
456,-3.658
457,-3.658
458,-3.658
459,-3.658
460,-3.658
461,-3.658
462,-3.659
463,-3.659
464,-3.659
465,-3.659
466,-3.659
467,-3.659
468,-3.659
469,-3.659
470,-3.659
471,-3.659
472,-3.659
473,-3.659
474,-3.659
475,-3.660
476,-3.660
477,-3.660
478,-3.660
479,-3.660
480,-3.660
481,-3.660
482,-3.660
483,-3.660
484,-3.660
485,-3.660
486,-3.660
487,-3.660
488,-3.661
489,-3.661
490,-3.661
491,-3.661
492,-3.661
493,-3.661
494,-3.661
495,-3.661
496,-3.661
497,-3.661
498,-3.661
499,-3.661
500,-3.661
501,-3.661
502,-3.662
503,-3.662
504,-3.662
505,-3.662
506,-3.662
507,-3.662
508,-3.662
509,-3.662
510,-3.662
511,-3.662
512,-3.662
513,-3.662
514,-3.662
515,-3.663
516,-3.663
517,-3.663
518,-3.663
519,-3.663
520,-3.663
521,-3.663
522,-3.663
523,-3.663
524,-3.663
525,-3.663
526,-3.663
527,-3.663
528,-3.663
529,-3.664
530,-3.664
531,-3.664
532,-3.664
533,-3.664
534,-3.664
535,-3.664
536,-3.664
537,-3.664
538,-3.664
539,-3.664
540,-3.664
541,-3.664
542,-3.664
543,-3.665
544,-3.665
545,-3.665
546,-3.665
547,-3.665
548,-3.665
549,-3.665
550,-3.665
551,-3.665
552,-3.665
553,-3.665
554,-3.665
555,-3.665
556,-3.665
557,-3.665
558,-3.666
559,-3.666
560,-3.666
561,-3.666
562,-3.666
563,-3.666
564,-3.666
565,-3.666
566,-3.666
567,-3.666
568,-3.666
569,-3.666
570,-3.666
571,-3.666
572,-3.666
573,-3.667
574,-3.667
575,-3.667
576,-3.667
577,-3.667
578,-3.667
579,-3.667
580,-3.667
581,-3.667
582,-3.667
583,-3.667
584,-3.667
585,-3.667
586,-3.667
587,-3.667
588,-3.667
589,-3.667
590,-3.668
591,-3.668
592,-3.668
593,-3.668
594,-3.668
595,-3.668
596,-3.668
597,-3.668
598,-3.668
599,-3.668
600,-3.668
601,-3.668
602,-3.668
603,-3.668
604,-3.668
605,-3.668
606,-3.668
607,-3.669
608,-3.669
609,-3.669
610,-3.669
611,-3.669
612,-3.669
613,-3.669
614,-3.669
615,-3.669
616,-3.669
617,-3.669
618,-3.669
619,-3.669
620,-3.669
621,-3.669
622,-3.669
623,-3.669
624,-3.669
625,-3.669
626,-3.670
627,-3.670
628,-3.670
629,-3.670
630,-3.670
631,-3.670
632,-3.670
633,-3.670
634,-3.670
635,-3.670
636,-3.670
637,-3.670
638,-3.670
639,-3.670
640,-3.670
641,-3.670
642,-3.670
643,-3.670
644,-3.671
645,-3.671
646,-3.671
647,-3.671
648,-3.671
649,-3.671
650,-3.671
651,-3.671
652,-3.671
653,-3.671
654,-3.671
655,-3.671
656,-3.671
657,-3.671
658,-3.671
659,-3.671
660,-3.671
661,-3.671
662,-3.672
663,-3.672
664,-3.672
665,-3.672
666,-3.672
667,-3.672
668,-3.672
669,-3.672
670,-3.672
671,-3.672
672,-3.672
673,-3.672
674,-3.672
675,-3.672
676,-3.672
677,-3.672
678,-3.672
679,-3.672
680,-3.673
681,-3.673
682,-3.673
683,-3.673
684,-3.673
685,-3.673
686,-3.673
687,-3.673
688,-3.673
689,-3.673
690,-3.673
691,-3.673
692,-3.673
693,-3.673
694,-3.673
695,-3.673
696,-3.673
697,-3.673
698,-3.673
699,-3.673
700,-3.673
701,-3.674
702,-3.674
703,-3.674
704,-3.674
705,-3.674
706,-3.674
707,-3.674
708,-3.674
709,-3.674
710,-3.674
711,-3.674
712,-3.674
713,-3.674
714,-3.674
715,-3.674
716,-3.674
717,-3.674
718,-3.674
719,-3.674
720,-3.674
721,-3.674
722,-3.674
723,-3.675
724,-3.675
725,-3.675
726,-3.675
727,-3.675
728,-3.675
729,-3.675
730,-3.675
731,-3.675
732,-3.675
733,-3.675
734,-3.675
735,-3.675
736,-3.675
737,-3.675
738,-3.675
739,-3.675
740,-3.675
741,-3.675
742,-3.675
743,-3.675
744,-3.675
745,-3.676
746,-3.676
747,-3.676
748,-3.676
749,-3.676
750,-3.676
751,-3.676
752,-3.676
753,-3.676
754,-3.676
755,-3.676
756,-3.676
757,-3.676
758,-3.676
759,-3.676
760,-3.676
761,-3.676
762,-3.676
763,-3.676
764,-3.676
765,-3.676
766,-3.676
767,-3.676
768,-3.676
769,-3.677
770,-3.677
771,-3.677
772,-3.677
773,-3.677
774,-3.677
775,-3.677
776,-3.677
777,-3.677
778,-3.677
779,-3.677
780,-3.677
781,-3.677
782,-3.677
783,-3.677
784,-3.677
785,-3.677
786,-3.677
787,-3.677
788,-3.677
789,-3.677
790,-3.677
791,-3.677
792,-3.677
793,-3.677
794,-3.677
795,-3.678
796,-3.678
797,-3.678
798,-3.678
799,-3.678
800,-3.678
801,-3.678
802,-3.678
803,-3.678
804,-3.678
805,-3.678
806,-3.678
807,-3.678
808,-3.678
809,-3.678
810,-3.678
811,-3.678
812,-3.678
813,-3.678
814,-3.678
815,-3.678
816,-3.678
817,-3.678
818,-3.678
819,-3.679
820,-3.679
821,-3.679
822,-3.679
823,-3.679
824,-3.679
825,-3.679
826,-3.679
827,-3.679
828,-3.679
829,-3.679
830,-3.679
831,-3.679
832,-3.679
833,-3.679
834,-3.679
835,-3.679
836,-3.679
837,-3.679
838,-3.679
839,-3.679
840,-3.679
841,-3.679
