1731,    -1.690,   MM,02
1732,    -0.728,   MM,04
1733,    -0.728,   MM,04
1734,    -1.202,   MM,01
1735,    -1.695,   MM,02
1736,    -2.158,   MM,03
1737,    -1.699,   MM,02
1738,    -0.728,   MM,04
1739,    -1.205,   MM,01
1740,    -2.158,   MM,03
1741,    -2.158,   MM,03
1742,    -1.206,   MM,01
1743,    -1.703,   MM,02
1744,    -0.728,   MM,04
1745,    -0.728,   MM,04
1746,    -1.208,   MM,01
1747,    -1.707,   MM,02
1748,    -2.158,   MM,03
1749,    -1.710,   MM,02
1750,    -0.728,   MM,04
1751,    -1.210,   MM,01
1752,    -2.158,   MM,03
1753,    -2.158,   MM,03
1754,    -1.212,   MM,01
1755,    -1.713,   MM,02
1756,    -0.728,   MM,04
1757,    -0.728,   MM,04
1758,    -1.214,   MM,01
1759,    -1.717,   MM,02
1760,    -2.158,   MM,03
1761,    -1.719,   MM,02
1762,    -0.728,   MM,04
1763,    -1.215,   MM,01
1764,    -2.158,   MM,03
1765,    -2.158,   MM,03
1766,    -1.217,   MM,01
1767,    -1.722,   MM,02
1768,    -0.728,   MM,04
1769,    -0.728,   MM,04
1770,    -1.218,   MM,01
1771,    -1.725,   MM,02
1772,    -2.158,   MM,03
1773,    -1.728,   MM,02
1774,    -0.728,   MM,04
1775,    -1.220,   MM,01
1776,    -2.158,   MM,03
1777,    -2.221,   MM,03
1778,    -1.222,   MM,01
1779,    -1.731,   MM,02
1780,    -0.728,   MM,04
1781,    -0.728,   MM,04
1782,    -1.223,   MM,01
1783,    -1.733,   MM,02
1784,    -2.246,   MM,03
1785,    -1.735,   MM,02
1786,    -0.728,   MM,04
1787,    -1.224,   MM,01
1788,    -2.262,   MM,03
1789,    -2.273,   MM,03
1790,    -1.226,   MM,01
1791,    -1.738,   MM,02
1792,    -0.728,   MM,04
1793,    -0.728,   MM,04
1794,    -1.227,   MM,01
1795,    -1.740,   MM,02
1796,    -2.284,   MM,03
1797,    -1.742,   MM,02
1798,    -0.728,   MM,04
1799,    -1.229,   MM,01
1800,    -2.293,   MM,03
1801,    -2.301,   MM,03
1802,    -1.230,   MM,01
1803,    -1.744,   MM,02
1804,    -0.728,   MM,04
1805,    -0.728,   MM,04
1806,    -1.232,   MM,01
1807,    -1.746,   MM,02
1808,    -2.308,   MM,03
1809,    -1.748,   MM,02
1810,    -0.728,   MM,04
1811,    -1.233,   MM,01
1812,    -2.316,   MM,03
1813,    -2.322,   MM,03
1814,    -1.234,   MM,01
1815,    -1.750,   MM,02
1816,    -0.728,   MM,04
1817,    -0.728,   MM,04
1818,    -1.235,   MM,01
1819,    -1.752,   MM,02
1820,    -2.329,   MM,03
1821,    -1.754,   MM,02
1822,    -0.728,   MM,04
1823,    -1.237,   MM,01
1824,    -2.335,   MM,03
1825,    -2.340,   MM,03
1826,    -1.238,   MM,01
1827,    -1.756,   MM,02
1828,    -0.728,   MM,04
1829,    -0.728,   MM,04
1830,    -1.240,   MM,01
1831,    -1.758,   MM,02
1832,    -2.346,   MM,03
1833,    -1.759,   MM,02
1834,    -0.728,   MM,04
1835,    -1.241,   MM,01
1836,    -2.352,   MM,03
1837,    -2.357,   MM,03
1838,    -1.242,   MM,01
1839,    -1.761,   MM,02
1840,    -0.728,   MM,04
1841,    -0.728,   MM,04
1842,    -1.243,   MM,01
1843,    -1.763,   MM,02
1844,    -2.362,   MM,03
1845,    -1.764,   MM,02
1846,    -0.728,   MM,04
1847,    -1.245,   MM,01
1848,    -2.367,   MM,03
1849,    -2.371,   MM,03
1850,    -1.246,   MM,01
1851,    -1.766,   MM,02
1852,    -0.728,   MM,04
1853,    -0.728,   MM,04
1854,    -1.247,   MM,01
1855,    -1.768,   MM,02
1856,    -2.376,   MM,03
1857,    -1.769,   MM,02
1858,    -0.728,   MM,04
1859,    -1.248,   MM,01
1860,    -2.381,   MM,03
1861,    -2.385,   MM,03
1862,    -1.250,   MM,01
1863,    -1.771,   MM,02
1864,    -0.728,   MM,04
1865,    -0.728,   MM,04
1866,    -1.251,   MM,01
1867,    -1.772,   MM,02
1868,    -2.389,   MM,03
1869,    -1.773,   MM,02
1870,    -0.728,   MM,04
1871,    -1.252,   MM,01
1872,    -2.393,   MM,03
1873,    -2.397,   MM,03
1874,    -1.253,   MM,01
1875,    -1.775,   MM,02
1876,    -0.728,   MM,04
1877,    -0.728,   MM,04
1878,    -1.254,   MM,01
1879,    -1.776,   MM,02
1880,    -2.401,   MM,03
1881,    -1.778,   MM,02
1882,    -0.728,   MM,04
1883,    -1.255,   MM,01
1884,    -2.405,   MM,03
1885,    -2.409,   MM,03
1886,    -1.256,   MM,01
1887,    -1.779,   MM,02
1888,    -0.728,   MM,04
1889,    -0.728,   MM,04
1890,    -1.257,   MM,01
1891,    -1.781,   MM,02
1892,    -2.413,   MM,03
1893,    -1.782,   MM,02
1894,    -0.728,   MM,04
1895,    -1.258,   MM,01
1896,    -2.417,   MM,03
1897,    -2.420,   MM,03
1898,    -1.259,   MM,01
1899,    -1.783,   MM,02
1900,    -0.728,   MM,04
1901,    -0.728,   MM,04
1902,    -1.260,   MM,01
1903,    -1.785,   MM,02
1904,    -2.424,   MM,03
1905,    -1.786,   MM,02
1906,    -0.728,   MM,04
1907,    -1.261,   MM,01
1908,    -2.428,   MM,03
1909,    -2.431,   MM,03
1910,    -1.262,   MM,01
1911,    -1.787,   MM,02
1912,    -0.728,   MM,04
1913,    -0.728,   MM,04
1914,    -1.263,   MM,01
1915,    -1.789,   MM,02
1916,    -2.434,   MM,03
1917,    -1.790,   MM,02
1918,    -0.728,   MM,04
1919,    -1.264,   MM,01
1920,    -2.438,   MM,03
1921,    -2.441,   MM,03
1922,    -1.265,   MM,01
1923,    -1.791,   MM,02
1924,    -0.728,   MM,04
1925,    -0.728,   MM,04
1926,    -1.266,   MM,01
1927,    -1.792,   MM,02
1928,    -2.444,   MM,03
1929,    -1.793,   MM,02
1930,    -0.728,   MM,04
1931,    -1.268,   MM,01
1932,    -2.448,   MM,03
1933,    -2.451,   MM,03
1934,    -1.269,   MM,01
1935,    -1.795,   MM,02
1936,    -0.728,   MM,04
1937,    -0.728,   MM,04
1938,    -1.270,   MM,01
1939,    -1.796,   MM,02
1940,    -2.454,   MM,03
1941,    -1.797,   MM,02
1942,    -0.728,   MM,04
1943,    -1.271,   MM,01
1944,    -2.457,   MM,03
1945,    -2.460,   MM,03
1946,    -1.272,   MM,01
1947,    -1.798,   MM,02
1948,    -0.728,   MM,04
1949,    -0.728,   MM,04
1950,    -1.273,   MM,01
1951,    -1.799,   MM,02
1952,    -2.463,   MM,03
1953,    -1.800,   MM,02
1954,    -0.728,   MM,04
1955,    -1.274,   MM,01
1956,    -2.466,   MM,03
1957,    -2.469,   MM,03
1958,    -1.275,   MM,01
1959,    -1.801,   MM,02
1960,    -0.728,   MM,04
1961,    -0.728,   MM,04
1962,    -1.276,   MM,01
1963,    -1.802,   MM,02
1964,    -2.472,   MM,03
1965,    -1.803,   MM,02
1966,    -0.728,   MM,04
1967,    -1.277,   MM,01
1968,    -2.475,   MM,03
1969,    -2.478,   MM,03
1970,    -1.278,   MM,01
1971,    -1.805,   MM,02
1972,    -0.803,   MM,04
1973,    -0.815,   MM,04
1974,    -1.279,   MM,01
1975,    -1.805,   MM,02
1976,    -2.481,   MM,03
1977,    -1.806,   MM,02
1978,    -0.823,   MM,04
1979,    -1.280,   MM,01
1980,    -2.484,   MM,03
1981,    -2.486,   MM,03
1982,    -1.280,   MM,01
1983,    -1.807,   MM,02
1984,    -0.829,   MM,04
